0,1,2,3,4,5,6,7,8,9,10,11,12
147,0,0,0,0,0,0,0,0,0,0,0,0
110,0,0,0,0,0,0,0,0,0,0,0,0
71,0,0,0,0,0,0,0,0,0,0,0,0
112,0,0,0,0,0,0,0,0,0,0,0,0
78,27,0,0,0,0,0,0,0,0,0,0,0
69,0,0,0,0,0,0,0,0,0,0,0,0
60,32,0,0,0,0,0,0,0,0,0,0,0
47,0,0,0,0,0,0,0,0,0,0,0,0
54,0,0,0,0,0,0,0,0,0,0,0,0
56,24,0,0,0,0,0,0,0,0,0,0,0
97,97,0,0,0,0,0,0,0,0,0,0,0
76,76,0,0,0,0,0,0,0,0,0,0,0
58,58,0,0,0,0,0,0,0,0,0,0,0
43,43,0,0,0,0,0,0,0,0,0,0,0
91,91,0,0,0,0,0,0,0,0,0,0,0
112,112,0,0,0,0,0,0,0,0,0,0,0
74,74,0,0,0,0,0,0,0,0,0,0,0
66,66,0,0,0,0,0,0,0,0,0,0,0
64,64,0,0,0,0,0,0,0,0,0,0,0
70,70,0,0,0,0,0,0,0,0,0,0,0
64,64,0,0,0,0,0,0,0,0,0,0,0
77,77,0,0,0,0,0,0,0,0,0,0,0
55,55,0,0,0,0,0,0,0,0,0,0,0
27,27,0,0,0,0,0,0,0,0,0,0,0
45,45,0,0,0,0,0,0,0,0,0,0,0
70,70,0,0,0,0,0,0,0,0,0,0,0
20,20,0,0,0,0,0,0,0,0,0,0,0
35,35,0,0,0,0,0,0,0,0,0,0,0
23,23,0,0,0,0,0,0,0,0,0,0,0
30,30,0,0,0,0,0,0,0,0,0,0,0
34,34,0,0,0,0,0,0,0,0,0,0,0
24,24,30,0,0,0,0,0,0,0,0,0,0
33,33,20,0,0,0,0,0,0,0,0,0,0
41,41,34,20,21,0,0,0,0,0,0,0,0
66,66,23,24,24,0,0,0,0,0,0,0,0
45,45,0,0,0,0,0,0,0,0,0,0,0
39,39,53,0,0,0,0,0,0,0,0,0,0
49,49,54,0,0,0,0,0,0,0,0,0,0
55,55,32,20,20,0,0,0,0,0,0,0,0
0,0,63,27,27,0,0,0,0,0,0,0,0
52,52,32,0,0,0,0,0,0,0,0,0,0
28,28,28,0,0,0,0,0,0,0,0,0,0
37,37,52,0,0,0,0,0,0,0,0,0,0
0,0,28,39,39,0,0,0,0,0,0,0,0
29,29,0,0,0,0,0,0,0,0,0,0,0
22,22,37,0,0,0,0,0,0,0,0,0,0
57,57,67,32,32,20,0,0,0,0,0,0,0
33,33,0,43,43,0,0,0,0,0,0,0,0
55,55,61,42,42,0,0,0,0,0,0,0,0
53,53,0,49,49,0,0,0,0,0,0,0,0
84,84,40,51,51,0,0,0,0,0,0,0,0
82,82,0,21,21,23,0,0,0,0,0,0,0
74,74,0,0,0,25,0,0,0,0,0,0,0
84,84,44,0,0,26,0,0,0,0,0,0,0
106,106,0,29,29,31,0,0,0,0,0,0,0
36,36,0,0,0,33,0,0,0,0,0,0,0
61,61,0,0,0,82,0,0,0,0,0,0,0
24,24,23,0,0,63,0,0,0,0,0,0,0
59,59,0,0,0,89,0,0,0,0,0,0,0
21,21,25,0,0,51,0,0,0,0,0,0,0
77,77,21,0,0,66,0,0,0,0,0,0,0
25,25,26,0,0,57,0,0,0,0,0,0,0
20,20,20,0,0,78,0,0,0,0,0,0,0
34,34,34,48,48,113,0,0,0,0,0,0,0
20,20,20,0,0,54,0,0,0,0,0,0,0
26,26,26,24,24,64,0,0,0,0,0,0,0
0,0,0,0,0,38,0,0,0,0,0,0,0
42,42,42,69,69,28,0,0,0,0,0,0,0
40,40,40,0,0,54,0,0,0,0,0,0,0
22,22,22,62,62,36,0,0,0,0,0,0,0
0,0,0,67,67,59,0,0,0,0,0,0,0
25,25,25,32,32,0,0,0,0,0,0,0,0
0,0,0,57,57,45,0,0,0,0,0,0,0
0,0,0,29,29,73,0,0,0,0,0,0,0
0,0,0,0,0,49,0,0,0,0,0,0,0
31,31,31,23,23,33,0,0,0,0,0,0,0
25,25,25,0,0,33,0,0,0,0,0,0,0
44,44,44,33,33,38,0,0,0,0,0,0,0
32,32,32,20,20,31,0,0,0,0,0,0,0
33,33,33,0,0,26,0,0,0,0,0,0,0
61,61,61,0,0,27,0,0,0,0,0,0,0
49,49,49,20,20,22,0,0,0,0,0,0,0
55,55,55,0,0,0,0,0,0,0,0,0,0
70,70,70,0,0,0,0,0,0,0,0,0,0
28,28,28,0,0,25,0,0,0,0,0,0,0
56,56,56,0,0,0,0,0,0,0,0,0,0
60,60,60,0,0,33,0,0,0,0,0,0,0
60,60,60,24,24,0,0,0,0,0,0,0,0
63,63,63,24,24,0,0,0,0,0,0,0,0
60,60,60,0,0,0,0,0,0,0,0,0,0
77,77,77,0,0,33,0,0,0,0,0,0,0
84,84,84,0,0,20,0,0,0,0,0,0,0
83,83,83,0,0,0,0,0,0,0,0,0,0
87,87,87,0,0,0,0,0,0,0,0,0,0
27,27,27,0,0,27,0,0,0,0,0,0,0
22,22,22,0,0,22,0,0,0,0,0,0,0
37,37,37,0,0,37,0,0,0,0,0,0,0
53,53,53,0,0,53,0,0,0,0,0,0,0
81,81,81,0,0,81,0,0,0,0,0,0,0
26,26,26,0,0,26,25,0,0,0,0,0,0
31,31,31,0,0,31,0,0,0,0,0,0,0
35,35,35,0,0,35,0,0,0,0,0,0,0
34,34,34,0,0,34,43,0,0,0,0,0,0
24,24,24,0,0,24,24,0,0,0,0,0,0
25,25,25,0,0,25,25,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
20,20,20,0,0,20,20,0,0,0,0,0,0
8,8,8,0,0,8,8,0,0,0,0,0,0
20,20,20,0,0,20,20,0,0,0,0,0,0
50,50,50,0,0,50,50,0,0,0,0,0,0
36,36,36,0,0,36,36,0,0,0,0,0,0
37,37,37,0,0,37,37,0,0,0,0,0,0
45,45,45,0,0,45,45,0,0,0,0,0,0
60,60,60,0,0,60,60,0,0,0,0,0,0
20,20,20,0,0,20,20,22,0,0,0,0,0
24,24,24,0,0,24,24,27,0,0,0,0,0
51,51,51,0,0,51,51,35,0,0,0,0,0
27,27,27,0,0,27,27,0,0,0,0,0,0
56,56,56,0,0,56,56,27,0,0,0,0,0
24,24,24,0,0,24,24,0,0,0,0,0,0
21,21,21,0,0,21,21,0,0,0,0,0,0
29,29,29,0,0,29,29,27,0,0,0,0,0
35,35,35,0,0,35,35,43,20,0,0,0,0
33,33,33,0,0,33,33,50,0,0,0,0,0
0,0,0,0,0,0,0,52,0,0,0,0,0
24,24,24,0,0,24,24,46,24,0,0,0,0
36,36,36,0,0,36,36,84,0,0,0,0,0
0,0,0,0,0,0,0,92,27,0,0,0,0
25,25,25,0,0,25,25,58,20,0,0,0,0
20,20,20,0,0,20,20,57,28,0,0,0,0
25,25,25,0,0,25,25,54,25,0,0,0,0
29,29,29,0,0,29,29,45,29,21,0,0,0
44,44,44,0,0,44,44,39,44,34,0,0,0
35,35,35,0,0,35,35,31,35,64,0,0,0
55,55,55,0,0,55,55,60,55,32,0,0,0
35,35,35,0,0,35,35,49,35,53,0,0,0
32,32,32,0,0,32,32,51,32,42,0,0,0
24,24,24,0,0,24,24,40,24,86,0,0,0
56,56,56,0,0,56,56,53,56,101,0,0,0
27,27,27,0,0,27,27,54,27,94,0,0,0
23,23,23,0,0,23,23,68,23,131,0,0,0
182,182,182,0,0,182,182,73,182,182,0,0,0
148,148,148,0,0,148,148,60,148,148,0,0,0
184,184,184,0,0,184,184,74,184,184,0,0,0
251,251,251,0,0,251,251,74,251,251,0,0,0
273,273,273,0,0,273,273,66,273,273,0,0,0
204,204,204,0,0,204,204,43,204,204,27,0,0
