0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
455,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
508,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
587,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
524,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
382,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
296,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
241,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
209,77,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
259,166,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0
215,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
209,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
227,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
