0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
668,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
438,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
419,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
381,63,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
404,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
475,110,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
542,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
632,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
675,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
693,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
611,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
594,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
505,48,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
417,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
330,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
307,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
188,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
