0,1,2,3,4,5,6
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
23,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
29,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
40,0,0,0,0,0,0
0,0,0,0,0,0,0
55,0,0,0,0,0,0
0,0,0,0,0,0,0
39,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
49,0,0,0,0,0,0
44,0,0,0,0,0,0
30,0,0,0,0,0,0
38,0,0,0,0,0,0
55,0,0,0,0,0,0
33,0,0,0,0,0,0
24,0,0,0,0,0,0
26,0,0,0,0,0,0
53,0,0,0,0,0,0
27,0,0,0,0,0,0
22,0,0,0,0,0,0
31,0,0,0,0,0,0
21,0,0,0,0,0,0
23,0,0,0,0,0,0
28,0,0,0,0,0,0
28,0,0,0,0,0,0
40,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
28,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
26,0,0,0,0,0,0
44,0,0,0,0,0,0
116,29,0,0,0,0,0
168,0,0,0,0,0,0
112,24,0,0,0,0,0
117,24,0,0,0,0,0
139,0,0,0,0,0,0
139,42,0,0,0,0,0
109,0,0,0,0,0,0
117,0,0,0,0,0,0
125,0,0,0,0,0,0
99,0,0,0,0,0,0
89,0,0,0,0,0,0
76,0,29,0,0,0,0
106,0,25,0,0,0,0
106,0,22,0,0,0,0
52,0,0,0,0,0,0
57,0,0,0,0,0,0
66,0,0,0,0,0,0
90,0,0,0,0,0,0
109,0,0,0,0,0,0
101,0,0,0,0,0,0
67,0,0,0,0,0,0
32,0,0,0,0,0,0
44,38,0,0,0,0,0
49,0,0,0,0,0,0
25,70,0,0,0,0,0
42,29,0,0,0,0,0
33,36,21,0,0,0,0
31,30,20,0,0,0,0
0,23,25,0,0,0,0
34,37,37,0,0,0,0
20,50,30,0,0,0,0
20,70,27,0,0,0,0
31,43,23,0,0,0,0
0,77,20,0,0,0,0
0,131,26,0,0,0,0
72,191,0,0,0,0,0
87,166,0,0,0,0,0
49,176,0,0,0,0,0
57,198,0,0,0,0,0
86,192,0,0,0,0,0
39,154,0,0,0,0,0
50,111,0,0,0,0,0
28,112,0,0,0,0,0
25,152,0,32,0,0,0
0,139,22,0,0,0,0
23,95,0,0,0,0,0
39,61,30,0,0,0,0
30,46,0,20,0,0,0
41,38,20,0,0,0,0
87,62,28,27,0,0,0
57,113,43,35,0,0,0
51,107,41,33,0,0,0
91,138,48,24,0,0,0
80,225,83,32,0,0,0
78,235,99,30,0,0,0
41,255,119,60,0,0,0
69,163,149,108,0,0,0
40,142,164,122,0,0,0
55,124,227,76,0,0,0
32,120,210,60,0,0,0
45,82,160,75,0,0,0
21,55,159,58,0,0,0
24,67,186,37,0,0,0
23,48,176,172,0,0,0
0,42,147,142,0,0,0
0,56,156,144,0,0,0
0,68,153,160,0,0,0
0,59,193,193,0,0,0
0,65,150,202,0,0,0
0,48,170,178,34,0,0
0,89,116,195,44,0,0
0,82,140,174,80,0,0
0,93,114,198,90,0,0
0,67,139,244,63,0,0
23,55,113,250,40,0,0
28,35,135,197,44,0,0
30,25,118,161,23,24,0
33,29,125,130,28,27,0
33,33,157,160,23,0,0
25,39,111,166,23,0,0
51,40,95,202,29,0,0
54,38,81,288,33,0,0
59,69,61,291,36,24,0
50,48,50,359,68,31,0
36,47,77,495,53,42,0
25,41,91,442,44,52,0
20,38,85,548,33,46,0
434,27,77,558,50,38,0
313,20,42,712,51,26,0
262,38,40,835,33,36,0
296,296,34,955,48,0,0
237,237,52,898,22,0,0
255,255,45,794,0,0,0
240,240,73,637,0,0,0
275,275,74,529,22,0,0
171,171,64,509,0,0,0
102,102,128,671,0,0,0
75,75,148,751,22,0,0
63,63,151,859,20,0,0
233,233,162,849,33,0,0
151,151,161,918,43,0,0
212,212,147,1059,40,0,0
258,258,99,1094,35,0,0
185,185,71,1238,31,0,0
168,168,56,1025,27,0,0
154,154,75,1086,24,0,0
183,183,60,1109,32,0,0
258,258,76,1015,48,0,0
232,232,56,913,28,0,0
252,252,56,973,82,0,0
322,322,78,930,115,0,0
263,263,93,901,121,0,0
253,253,93,904,54,0,0
235,235,111,1040,84,0,0
210,210,134,966,72,0,0
208,208,150,917,81,0,0
260,260,168,800,94,0,0
270,270,160,770,88,0,0
286,286,155,723,89,0,0
294,294,152,921,106,0,0
276,276,143,842,96,0,0
324,324,110,727,81,0,0
403,403,97,670,94,0,0
428,428,134,608,140,0,0
441,441,122,528,157,0,0
460,460,158,565,194,0,0
498,498,129,591,149,0,0
536,536,115,674,190,0,0
469,469,73,627,174,0,0
399,399,65,777,236,0,0
423,423,119,750,185,0,26
396,396,78,676,135,0,289
465,465,64,727,166,0,288
447,447,73,707,131,0,337
516,516,31,701,112,0,344
523,523,46,602,104,0,316
563,563,42,521,123,0,303
458,458,47,633,88,0,317
576,576,44,600,70,0,231
589,589,36,687,77,0,179
740,740,58,758,70,0,210
735,735,44,879,44,0,221
713,713,24,907,61,0,167
651,651,21,1036,31,0,117
683,683,29,888,55,0,88
512,512,33,1087,55,0,81
460,460,44,1049,40,0,77
495,495,31,979,25,0,102
635,635,33,873,0,0,82
633,633,23,811,0,0,99
755,755,24,744,0,0,46
759,759,0,805,0,0,63
852,852,0,882,0,0,34
834,834,0,898,0,0,55
729,729,21,912,0,0,52
775,775,22,926,0,0,40
752,752,21,995,0,0,52
763,763,20,947,0,0,43
774,774,22,922,0,0,57
807,807,0,793,0,0,50
835,835,21,703,0,0,50
790,790,0,608,0,0,68
910,910,0,499,0,0,102
1102,1102,0,500,0,0,133
1146,1146,0,414,0,0,226
1114,1114,0,369,0,0,270
1151,1151,0,402,0,0,267
1026,1026,0,411,0,0,279
957,957,0,348,0,0,345
807,807,0,310,0,0,365
801,801,0,270,0,0,466
810,810,0,346,0,0,476
753,753,0,397,0,0,442
789,789,0,429,0,0,434
857,857,0,357,0,0,373
772,772,0,338,0,0,465
916,916,0,327,0,0,580
1007,1007,0,247,0,0,535
1031,1031,0,193,0,0,513
1157,1157,0,190,0,0,609
1132,1132,0,215,0,0,570
951,951,0,166,0,0,506
1274,1274,0,141,0,0,1274
836,836,0,155,0,0,836
1024,1024,0,276,0,0,1024
778,778,0,145,0,0,778
974,974,0,282,0,0,974
704,704,0,382,0,0,704
684,684,0,410,0,0,684
752,752,0,250,0,0,752
497,497,0,521,0,0,497
685,685,0,530,0,0,685
453,453,0,367,0,0,453
705,705,0,322,0,0,705
706,706,0,296,0,0,706
671,671,0,432,0,0,671
675,675,0,364,0,0,675
709,709,0,313,0,0,709
620,620,0,307,0,0,620
615,615,0,320,0,0,615
510,510,0,297,0,0,510
510,510,0,300,0,0,510
559,559,0,309,0,0,559
531,531,0,354,0,0,531
