0,1,2,3,4,5
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
25,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
38,0,0,0,0,0
30,0,0,0,0,0
20,0,0,0,0,0
40,0,0,0,0,0
0,0,0,0,0,0
55,0,0,0,0,0
0,0,0,0,0,0
41,0,0,0,0,0
0,0,0,0,0,0
20,0,0,0,0,0
49,0,0,0,0,0
44,0,0,0,0,0
30,0,0,0,0,0
38,0,0,0,0,0
55,0,0,0,0,0
33,0,0,0,0,0
24,0,0,0,0,0
26,0,0,0,0,0
53,0,0,0,0,0
27,0,0,0,0,0
22,0,0,0,0,0
31,0,0,0,0,0
21,0,0,0,0,0
23,0,0,0,0,0
28,0,0,0,0,0
28,0,0,0,0,0
40,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
28,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
26,0,0,0,0,0
44,0,0,0,0,0
117,29,0,0,0,0
171,0,0,0,0,0
112,24,0,0,0,0
117,24,0,0,0,0
139,0,0,0,0,0
139,42,0,0,0,0
109,0,0,0,0,0
117,0,0,0,0,0
125,0,0,0,0,0
100,0,0,0,0,0
89,0,0,0,0,0
76,0,29,0,0,0
106,0,25,0,0,0
106,0,22,0,0,0
52,0,0,0,0,0
57,0,0,0,0,0
66,0,0,0,0,0
90,0,0,0,0,0
109,0,0,0,0,0
108,0,0,0,0,0
67,0,0,0,0,0
34,0,0,0,0,0
65,38,0,0,0,0
49,0,0,0,0,0
25,70,0,0,0,0
42,29,0,0,0,0
33,36,21,0,0,0
31,30,20,0,0,0
0,23,25,0,0,0
34,37,37,0,0,0
20,50,30,0,0,0
20,70,27,0,0,0
31,43,23,0,0,0
0,77,20,0,0,0
0,131,26,0,0,0
72,191,0,0,0,0
87,166,0,0,0,0
49,176,0,0,0,0
57,198,0,0,0,0
86,192,0,0,0,0
39,154,0,0,0,0
50,111,27,0,0,0
28,112,0,0,0,0
27,152,0,32,0,0
0,139,22,0,0,0
23,95,24,0,0,0
39,61,30,0,0,0
30,46,0,20,0,0
41,38,20,0,0,0
87,62,34,27,0,0
57,113,70,35,0,0
51,107,41,33,0,0
91,138,67,24,0,0
80,225,103,32,0,0
78,235,133,34,0,0
41,255,147,62,0,0
69,163,161,120,0,0
40,142,169,134,0,0
55,124,236,86,0,0
32,120,210,93,0,0
45,82,160,106,0,0
21,55,165,58,0,0
24,67,186,116,0,0
23,48,176,173,0,0
0,42,157,178,0,0
0,56,156,211,0,0
0,68,159,208,0,0
0,59,193,216,0,0
0,65,150,219,0,0
0,49,170,183,34,0
0,91,134,195,44,0
0,84,188,176,80,0
0,93,172,217,90,0
0,85,185,244,63,0
25,84,145,250,40,0
0,45,158,197,44,0
24,33,139,161,23,0
31,49,136,168,28,0
0,55,170,198,23,0
0,86,122,186,23,0
0,118,122,277,29,0
0,98,102,326,33,0
24,157,85,333,36,0
34,119,57,379,68,0
43,75,77,506,53,0
52,83,91,442,44,0
46,84,85,548,33,0
38,61,79,570,50,0
26,36,85,712,51,0
36,38,70,835,33,0
0,25,61,955,48,0
0,24,66,898,22,30
0,21,76,794,0,38
0,20,87,638,0,35
0,275,89,529,22,43
0,316,78,509,0,316
0,285,143,671,0,285
0,191,160,751,22,191
0,182,163,859,20,182
0,233,162,851,33,233
0,151,170,930,43,151
0,234,151,1059,41,234
0,288,110,1094,35,288
0,186,73,1238,31,186
0,180,61,1025,55,180
0,161,77,1112,32,161
0,183,63,1112,75,183
0,258,78,1025,90,258
0,232,63,941,76,232
0,252,56,1003,109,252
0,322,78,954,115,322
0,263,94,926,121,263
0,253,93,984,89,253
0,235,111,1084,96,235
0,210,134,1007,94,210
0,208,150,974,97,208
0,260,168,870,114,260
0,270,160,847,101,270
0,286,155,810,91,286
0,294,152,1025,106,294
0,276,143,962,115,276
0,324,110,874,86,324
0,403,97,825,98,403
0,428,134,706,146,428
0,441,122,528,160,441
0,460,158,566,194,460
0,498,130,591,164,498
0,536,124,674,190,536
0,469,75,627,185,469
0,399,69,777,246,399
0,423,119,763,193,423
0,396,78,695,161,396
0,465,64,730,173,465
0,447,79,712,134,447
0,516,34,738,122,516
0,527,46,651,109,527
0,573,42,528,126,573
0,458,47,644,91,458
0,597,44,640,87,597
0,605,36,702,79,605
0,740,58,758,77,740
0,735,47,879,48,735
0,713,25,928,61,713
0,651,27,1062,31,651
0,683,31,922,56,683
0,512,35,1087,55,512
0,460,45,1100,40,460
0,495,31,1023,25,495
0,635,33,915,0,635
0,633,23,843,0,633
0,755,24,780,0,755
0,760,0,809,0,760
0,852,0,905,0,852
0,834,0,898,0,834
0,730,21,958,0,730
0,776,22,926,0,776
0,752,21,1000,0,752
0,763,20,952,0,763
0,774,22,923,0,774
0,807,0,793,0,807
0,835,21,710,0,835
0,790,0,608,0,790
0,910,0,551,0,910
0,1102,0,502,0,1102
0,1146,0,414,0,1146
0,1114,0,369,0,1114
0,1151,0,402,0,1151
0,1026,0,411,0,1026
0,957,0,350,0,957
0,807,0,312,0,807
0,801,0,270,0,801
0,810,0,346,0,810
0,753,0,397,0,753
0,789,0,429,0,789
0,857,0,357,0,857
0,772,0,338,0,772
0,916,0,327,0,916
0,1542,0,247,0,1542
0,1544,0,216,0,1544
0,1158,0,190,0,1158
0,1132,0,215,0,1132
0,1457,0,228,0,1457
0,1281,0,237,0,1281
0,1228,0,251,0,1228
0,1024,0,276,0,1024
0,1073,0,288,0,1073
0,974,0,282,0,974
0,704,0,382,0,704
0,937,0,410,0,937
0,752,0,438,0,752
0,696,0,521,0,696
0,697,0,530,0,697
0,722,0,367,0,722
0,709,0,527,0,709
0,715,0,454,0,715
0,680,0,432,0,680
0,682,0,511,0,682
0,714,0,534,0,714
0,622,0,647,0,622
0,617,0,718,0,617
0,516,0,485,0,516
0,511,0,580,0,511
0,569,0,777,0,569
0,545,0,417,0,545
0,443,0,816,0,443
0,441,0,531,0,441
0,320,0,866,0,320
0,290,0,881,0,290
0,269,0,545,0,269
0,245,0,813,0,245
0,300,0,886,0,300
0,350,0,744,0,350
0,329,0,430,0,329
0,248,0,382,0,248
0,219,0,584,0,219
0,257,0,662,0,257
0,264,0,416,0,264
0,264,0,667,0,264
0,208,0,507,0,208
0,238,0,442,0,238
0,241,0,505,0,241
0,216,0,466,0,216
0,240,0,567,0,240
0,212,0,695,0,212
0,228,0,717,0,228
0,233,0,799,0,233
0,244,0,602,0,244
0,207,0,603,0,207
0,202,0,368,0,202
0,224,0,694,0,224
0,251,0,573,0,251
0,263,0,587,0,263
0,234,0,759,0,234
37,258,0,672,0,258
48,195,0,710,0,195
55,203,0,540,0,203
74,265,0,380,0,265
81,302,0,262,0,302
98,389,0,348,0,389
76,358,0,336,0,358
64,453,0,315,0,453
62,503,0,239,0,503
64,596,0,227,0,596
101,604,0,253,0,604
110,571,0,365,0,571
137,522,0,294,0,522
127,536,0,218,0,536
153,478,0,159,0,478
150,420,0,300,0,420
137,408,0,205,0,408
140,357,0,278,0,357
144,312,0,332,0,312
116,332,0,59,0,332
150,313,0,117,0,313
148,330,0,80,0,330
248,374,0,158,0,374
229,325,0,99,0,325
208,266,0,159,0,266
139,257,0,213,0,257
130,251,0,220,0,251
95,229,0,312,0,229
101,286,0,217,0,286
95,307,0,247,0,307
152,342,0,184,0,342
240,333,0,131,0,333
301,305,0,70,0,305
329,283,0,78,0,283
275,219,0,32,0,219
256,225,0,21,0,225
286,190,0,26,0,190
250,201,0,117,0,201
208,206,0,77,0,206
151,281,0,98,0,281
95,352,0,67,0,352
