0,1,2,3,4,5,6,7
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
37,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0
55,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
48,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
31,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0
39,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0
44,0,0,0,0,0,0,0
116,29,0,0,0,0,0,0
168,0,0,0,0,0,0,0
112,0,0,0,0,0,0,0
117,0,0,0,0,0,0,0
139,0,0,0,0,0,0,0
139,32,0,0,0,0,0,0
109,0,0,0,0,0,0,0
117,0,0,0,0,0,0,0
125,0,0,0,0,0,0,0
99,0,0,0,0,0,0,0
89,0,0,0,0,0,0,0
76,0,29,0,0,0,0,0
106,0,25,0,0,0,0,0
106,0,22,0,0,0,0,0
52,0,0,0,0,0,0,0
57,0,0,0,0,0,0,0
66,0,0,0,0,0,0,0
90,0,0,0,0,0,0,0
109,0,0,0,0,0,0,0
101,0,0,0,0,0,0,0
67,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0
39,30,0,0,0,0,0,0
48,0,0,0,0,0,0,0
21,60,0,0,0,0,0,0
42,24,0,0,0,0,0,0
30,36,21,0,0,0,0,0
31,30,20,0,0,0,0,0
0,23,25,0,0,0,0,0
34,37,37,0,0,0,0,0
0,50,30,0,0,0,0,0
0,70,27,0,0,0,0,0
31,43,23,0,0,0,0,0
0,77,20,0,0,0,0,0
0,131,26,0,0,0,0,0
71,191,0,0,0,0,0,0
72,166,0,0,0,0,0,0
32,176,0,0,0,0,0,0
51,198,0,0,0,0,0,0
83,192,0,0,0,0,0,0
25,154,0,0,0,0,0,0
42,111,0,0,0,0,0,0
0,112,0,0,0,0,0,0
0,152,0,32,0,0,0,0
0,139,22,0,0,0,0,0
0,95,0,0,0,0,0,0
34,61,30,0,0,0,0,0
50,46,0,20,0,0,0,0
123,38,20,0,23,0,0,0
99,62,26,27,86,0,0,0
90,113,22,35,42,0,0,0
125,107,0,33,31,0,0,0
137,138,22,24,88,0,0,0
157,225,52,32,43,0,0,0
150,235,46,29,33,0,0,0
132,255,50,58,38,0,0,0
96,163,116,86,67,0,0,0
61,142,128,91,24,0,0,0
74,124,187,65,36,0,0,0
80,120,165,60,22,0,0,0
63,82,125,62,43,0,0,0
60,55,109,58,21,0,0,0
71,67,143,37,24,0,0,0
65,48,139,45,20,0,0,0
68,42,141,30,0,0,0,0
56,56,105,64,0,0,0,0
81,68,98,48,0,0,0,0
88,59,108,119,0,0,0,0
84,65,84,202,0,0,0,0
109,48,136,102,0,34,0,0
112,89,46,176,0,44,0,0
67,82,65,103,0,80,0,0
41,72,114,129,0,90,0,0
34,67,101,220,0,63,0,0
23,55,64,187,21,40,0,0
26,35,50,178,26,44,0,0
30,25,48,105,30,23,0,0
33,29,67,130,33,28,0,0
33,33,90,160,33,23,0,0
25,39,71,166,25,23,0,0
51,40,57,198,51,29,0,0
54,38,40,288,54,33,0,0
59,69,32,287,59,36,24,0
50,48,0,351,50,68,28,0
36,47,39,492,36,53,40,0
25,41,45,439,25,44,52,0
20,38,36,543,20,33,46,0
149,27,40,558,149,50,38,0
313,20,40,712,313,51,26,0
262,29,39,835,262,33,36,0
176,176,34,955,176,48,0,0
153,153,35,898,153,22,0,0
172,172,44,794,172,0,0,0
240,240,57,637,240,0,0,0
218,218,71,451,218,0,0,0
120,120,60,509,120,0,0,0
64,64,127,447,64,0,0,0
49,49,148,389,49,0,0,0
50,50,148,387,50,0,0,0
73,73,141,371,73,32,0,0
47,47,160,438,47,37,0,0
39,39,142,460,39,39,0,0
32,32,98,429,32,31,0,0
154,154,71,499,154,26,0,0
152,152,56,382,152,27,0,0
142,142,75,385,142,24,0,0
170,170,60,436,170,32,0,0
258,258,76,396,258,42,0,0
232,232,56,340,232,28,0,0
252,252,56,373,252,45,0,0
322,322,78,930,322,59,0,0
263,263,93,560,263,54,0,0
131,131,93,625,131,45,0,0
124,124,111,867,124,49,0,0
98,98,134,703,98,60,0,0
208,208,150,917,208,53,0,0
260,260,168,669,260,54,0,0
270,270,160,507,270,54,0,0
286,286,155,638,286,83,0,0
294,294,152,639,294,74,0,0
276,276,143,566,276,88,0,0
324,324,110,540,324,68,0,0
403,403,97,505,403,93,0,0
428,428,134,471,428,131,0,0
441,441,122,461,441,152,0,0
460,460,158,497,460,173,0,0
498,498,129,558,498,143,0,0
534,534,114,674,534,178,0,0
469,469,71,627,469,174,0,0
399,399,62,752,399,232,0,0
423,423,109,749,423,172,0,26
391,391,70,675,391,135,0,289
458,458,58,691,458,137,0,277
447,447,71,684,447,113,0,337
516,516,28,701,516,110,0,344
523,523,28,598,523,95,0,316
563,563,22,489,563,120,0,303
441,441,47,594,441,82,0,317
576,576,34,578,576,67,0,231
587,587,0,616,587,74,0,175
717,717,45,692,717,69,0,210
719,719,38,769,719,44,0,221
675,675,21,852,675,61,0,167
599,599,21,937,599,29,0,115
640,640,24,714,640,55,0,88
465,465,31,805,465,55,0,81
410,410,41,842,410,39,0,77
430,430,25,877,430,25,0,102
561,561,25,782,561,0,0,36
562,562,0,727,562,0,0,35
731,731,0,627,731,0,0,26
752,752,0,655,752,0,0,26
840,840,0,630,840,0,0,32
829,829,0,665,829,0,0,55
720,720,0,713,720,0,0,49
773,773,0,805,773,0,0,33
740,740,20,724,740,0,0,52
756,756,0,844,756,0,0,43
743,743,22,818,743,0,0,56
749,749,0,699,749,0,0,48
754,754,21,619,754,0,0,50
705,705,0,392,705,0,0,68
836,836,0,499,836,0,0,95
1026,1026,0,465,1026,0,0,111
1105,1105,0,256,1105,0,0,202
1040,1040,0,310,1040,0,0,251
1059,1059,0,401,1059,0,0,267
914,914,0,323,914,0,0,279
831,831,0,284,831,0,0,345
717,717,0,280,717,0,0,358
689,689,0,260,689,0,0,428
696,696,0,321,696,0,0,454
741,741,0,367,741,0,0,413
788,788,0,349,788,0,0,396
811,811,0,298,811,0,0,318
759,759,0,297,759,0,0,440
888,888,0,296,888,0,0,580
994,994,0,217,994,0,0,534
1030,1030,0,192,1030,0,0,507
1156,1156,0,166,1156,0,0,609
1132,1132,0,168,1132,0,0,570
949,949,0,152,949,0,0,506
843,843,0,134,843,0,0,430
835,835,0,147,835,0,0,392
735,735,0,145,735,0,0,287
773,773,0,142,773,0,0,294
708,708,0,137,708,0,0,258
704,704,0,186,704,0,0,295
678,678,0,180,678,0,0,253
537,537,0,188,537,0,0,197
486,486,0,170,486,0,0,195
457,457,0,203,457,0,0,205
442,442,0,168,442,0,0,260
357,357,0,205,357,0,0,289
425,425,0,158,425,0,0,280
426,426,0,134,426,0,0,245
484,484,0,147,484,0,0,187
493,493,0,221,493,0,0,215
424,424,0,340,424,0,0,194
356,356,0,398,356,0,0,204
281,281,0,485,281,0,0,176
343,343,0,580,343,0,0,148
390,390,0,468,390,0,0,153
339,339,0,417,339,0,0,164
327,327,0,504,327,0,0,91
307,307,0,530,307,0,0,102
257,257,0,563,257,0,0,50
220,220,0,595,220,0,0,45
198,198,0,545,198,0,0,58
198,198,0,581,198,0,0,35
255,255,0,615,255,0,0,28
306,306,0,467,306,0,0,24
306,306,0,430,306,0,0,21
236,236,0,382,236,0,0,236
209,209,0,425,209,0,0,209
