Date,Lightning_Count
2021-01-01,1357447
2021-01-02,1387112
2021-01-03,1124657
2021-01-04,1889758
2021-01-05,1167916
2021-01-06,1068358
2021-01-07,597160
2021-01-08,530035
2021-01-09,428749
2021-01-10,479162
2021-01-11,327366
2021-01-12,498846
2021-01-13,602722
2021-01-14,1107595
2021-01-15,1693090
2021-01-16,737233
2021-01-17,524743
2021-01-18,489974
2021-01-19,627529
2021-01-20,510628
2021-01-21,1253528
2021-01-22,736600
2021-01-23,404657
2021-01-24,385664
2021-01-25,399621
2021-01-26,643084
2021-01-27,679095
2021-01-28,460564
2021-01-29,416021
2021-01-30,627245
2021-01-31,549474
2021-02-01,732738
2021-02-02,646680
2021-02-03,1045486
2021-02-04,923284
2021-02-05,1132968
2021-02-06,387978
2021-02-07,786368
2021-02-08,1061196
2021-02-09,616218
2021-02-10,1088946
2021-02-11,784513
2021-02-12,719732
2021-02-13,577467
2021-02-14,701651
2021-02-15,809746
2021-02-16,695818
2021-02-17,1043513
2021-02-18,683715
2021-02-19,949809
2021-02-20,576900
2021-02-21,821515
2021-02-22,803155
2021-02-23,1190397
2021-02-24,1322006
2021-02-25,987099
2021-02-26,324512
2021-02-27,372769
2021-02-28,603297
2021-03-01,1108592
2021-03-02,969911
2021-03-03,1182820
2021-03-04,820097
2021-03-05,670391
2021-03-06,569956
2021-03-07,719154
2021-03-08,1643821
2021-03-09,1017631
2021-03-10,1495574
2021-03-11,1245155
2021-03-12,901917
2021-03-13,816113
2021-03-14,619665
2021-03-15,418295
2021-03-16,367326
2021-03-17,399706
2021-03-18,348641
2021-03-19,388770
2021-03-20,439484
2021-03-21,302232
2021-03-22,601366
2021-03-23,877605
2021-03-24,790748
2021-03-25,657688
2021-03-26,475591
2021-03-27,535935
2021-03-28,431109
2021-03-29,333250
2021-03-30,146294
2021-03-31,138510
2021-04-01,193307
2021-04-02,406031
2021-04-03,743566
2021-04-04,259942
2021-04-05,179286
2021-04-06,122972
2021-04-07,394825
2021-04-08,268164
2021-04-09,257938
2021-04-10,194884
2021-04-11,263440
2021-04-12,233040
2021-04-13,191073
2021-04-14,110547
2021-04-15,56015
2021-04-16,71485
2021-04-17,139810
2021-04-18,205372
2021-04-19,111941
2021-04-20,374437
2021-04-21,195341
2021-04-22,99129
2021-04-23,162497
2021-04-24,129929
2021-04-25,146880
2021-04-26,211770
2021-04-27,187221
2021-04-28,241998
2021-04-29,292525
2021-04-30,202233
2021-05-01,223394
2021-05-02,355953
2021-05-03,705066
2021-05-04,481353
2021-05-05,333036
2021-05-06,157196
2021-05-07,150421
2021-05-08,326650
2021-05-09,393427
2021-05-10,212878
2021-05-11,700223
2021-05-12,594733
2021-05-13,53975
2021-05-14,114748
2021-05-15,149216
2021-05-16,591073
2021-05-17,475480
2021-05-18,110483
2021-05-19,102685
2021-05-20,44017
2021-05-21,25608
2021-05-22,26976
2021-05-23,53136
2021-05-24,18512
2021-05-25,38764
2021-05-26,194959
2021-05-27,104747
