0,1,2,3,4,5,6,7,8,9,10
139,0,0,0,0,0,0,0,0,0,0
95,0,0,0,0,0,0,0,0,0,0
60,0,0,0,0,0,0,0,0,0,0
70,0,0,0,0,0,0,0,0,0,0
69,0,0,0,0,0,0,0,0,0,0
66,0,0,0,0,0,0,0,0,0,0
103,0,0,0,0,0,0,0,0,0,0
138,0,0,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0,0,0
113,0,0,0,0,0,0,0,0,0,0
178,0,0,0,0,0,0,0,0,0,0
206,0,0,0,0,0,0,0,0,0,0
165,0,0,0,0,0,0,0,0,0,0
144,0,0,0,0,0,0,0,0,0,0
117,0,0,0,0,0,0,0,0,0,0
122,0,0,0,0,0,0,0,0,0,0
143,0,0,0,0,0,0,0,0,0,0
102,0,0,0,0,0,0,0,0,0,0
136,0,0,0,0,0,0,0,0,0,0
116,0,0,0,0,0,0,0,0,0,0
173,0,0,0,0,0,0,0,0,0,0
270,0,0,0,0,0,0,0,0,0,0
311,0,0,0,0,0,0,0,0,0,0
284,0,0,0,0,0,0,0,0,0,0
426,0,0,0,0,0,0,0,0,0,0
392,21,0,0,0,0,0,0,0,0,0
307,37,0,0,0,0,0,0,0,0,0
410,35,0,0,0,0,0,0,0,0,0
419,37,0,0,0,0,0,0,0,0,0
380,74,0,0,0,0,0,0,0,0,0
412,27,0,0,0,0,0,0,0,0,0
539,20,0,0,0,0,0,0,0,0,0
560,25,0,0,0,0,0,0,0,0,0
768,23,0,0,0,0,0,0,0,0,0
749,23,0,0,0,0,0,0,0,0,0
559,35,0,0,0,0,0,0,0,0,0
514,24,0,0,0,0,0,0,0,0,0
538,35,0,0,0,0,0,0,0,0,0
566,31,0,0,0,0,0,0,0,0,0
413,36,0,0,0,0,0,0,0,0,0
358,60,0,0,0,0,0,0,0,0,0
332,31,0,0,0,0,0,0,0,0,0
340,26,0,0,0,0,0,0,0,0,0
264,21,0,0,0,0,0,0,0,0,0
