0,1,2,3,4,5,6,7,8,9
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
55,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
39,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0,0,0
44,0,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0,0
38,0,0,0,0,0,0,0,0,0
55,0,0,0,0,0,0,0,0,0
33,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0,0
53,0,0,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0
31,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0,0
44,0,0,0,0,0,0,0,0,0
116,29,0,0,0,0,0,0,0,0
168,0,0,0,0,0,0,0,0,0
112,24,0,0,0,0,0,0,0,0
117,24,0,0,0,0,0,0,0,0
139,0,0,0,0,0,0,0,0,0
139,42,0,0,0,0,0,0,0,0
109,0,0,0,0,0,0,0,0,0
117,0,0,0,0,0,0,0,0,0
125,0,0,0,0,0,0,0,0,0
99,0,0,0,0,0,0,0,0,0
89,0,0,0,0,0,0,0,0,0
76,0,29,0,0,0,0,0,0,0
106,0,25,0,0,0,0,0,0,0
106,0,22,0,0,0,0,0,0,0
52,0,0,0,0,0,0,0,0,0
57,0,0,0,0,0,0,0,0,0
66,0,0,0,0,0,0,0,0,0
90,0,0,0,0,0,0,0,0,0
109,0,0,0,0,0,0,0,0,0
101,0,0,0,0,0,0,0,0,0
67,0,0,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0,0,0
44,38,0,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0,0,0
25,70,0,0,0,0,0,0,0,0
42,29,0,0,0,0,0,0,0,0
33,36,21,0,0,0,0,0,0,0
31,30,20,0,0,0,0,0,0,0
