Coordinate,Scale_KM,TOT_dense,IC_num,CG_num,IC_amp,CG_amp,LJ,Sigma,Time,radar_ID,radar_Coor,max_SHI,nonneg_90_SHI,time_SHI,valid_size_SHI,invalid_size_SHI,valid_range_SHI
,0.0,0.0,0,0,0.0,0.0,,,00:00:00,,,NaN,NaN,NaN,NaN,NaN,NaN
,0.0,0.0,0,0,0.0,0.0,,,00:02:00,,,NaN,NaN,NaN,NaN,NaN,NaN
,0.0,0.0,0,0,0.0,0.0,,,00:04:00,,,NaN,NaN,NaN,NaN,NaN,NaN
,0.0,0.0,0,0,0.0,0.0,,,00:06:00,,,NaN,NaN,NaN,NaN,NaN,NaN
,0.0,0.0,0,0,0.0,0.0,,,00:08:00,,,NaN,NaN,NaN,NaN,NaN,NaN
,0.0,0.0,0,0,0.0,0.0,,,00:10:00,,,NaN,NaN,NaN,NaN,NaN,NaN
,0.0,0.0,0,0,0.0,0.0,,,00:12:00,,,NaN,NaN,NaN,NaN,NaN,NaN
,0.0,0.0,0,0,0.0,0.0,,,00:14:00,,,NaN,NaN,NaN,NaN,NaN,NaN
,0.0,0.0,0,0,0.0,0.0,,,00:16:00,,,NaN,NaN,NaN,NaN,NaN,NaN
,0.0,0.0,0,0,0.0,0.0,,,00:18:00,,,NaN,NaN,NaN,NaN,NaN,NaN
,0.0,0.0,0,0,0.0,0.0,,,00:20:00,,,NaN,NaN,NaN,NaN,NaN,NaN
,0.0,0.0,0,0,0.0,0.0,,,00:22:00,,,NaN,NaN,NaN,NaN,NaN,NaN
,0.0,0.0,0,0,0.0,0.0,,,00:24:00,,,NaN,NaN,NaN,NaN,NaN,NaN
,0.0,0.0,0,0,0.0,0.0,,,00:26:00,,,NaN,NaN,NaN,NaN,NaN,NaN
,0.0,0.0,0,0,0.0,0.0,,,00:28:00,,,NaN,NaN,NaN,NaN,NaN,NaN
,0.0,0.0,0,0,0.0,0.0,,,00:30:00,,,NaN,NaN,NaN,NaN,NaN,NaN
,0.0,0.0,0,0,0.0,0.0,,,00:32:00,,,NaN,NaN,NaN,NaN,NaN,NaN
,0.0,0.0,0,0,0.0,0.0,,,00:34:00,,,NaN,NaN,NaN,NaN,NaN,NaN
,0.0,0.0,0,0,0.0,0.0,,,00:36:00,,,NaN,NaN,NaN,NaN,NaN,NaN
,0.0,0.0,0,0,0.0,0.0,,,00:38:00,,,NaN,NaN,NaN,NaN,NaN,NaN
,0.0,0.0,0,0,0.0,0.0,,,00:40:00,,,NaN,NaN,NaN,NaN,NaN,NaN
"[156.2818635238095, -30.663851523809523]",15.406,0.028,17,4,94.403,89.05,,,00:42:00,,,NaN,NaN,NaN,NaN,NaN,NaN
"[155.57342700000004, -29.943271238095235]",6.395,0.163,20,1,109.207,6.738,False,0.0,00:44:00,,,NaN,NaN,NaN,NaN,NaN,NaN
"[155.1933256190476, -29.684121190476194]",6.713,0.148,21,0,95.208,0.0,False,0.0,00:46:00,,,NaN,NaN,NaN,NaN,NaN,NaN
"[155.4545137777778, -29.866849444444444]",20.925,0.026,31,5,187.308,68.203,False,1.59719,00:48:00,,,NaN,NaN,NaN,NaN,NaN,NaN
"[155.57682584444444, -29.90149386666667]",8.927,0.18,42,3,156.775,13.03,False,0.89245,00:50:00,,,NaN,NaN,NaN,NaN,NaN,NaN
"[155.56772134782608, -29.89061939130434]",15.319,0.062,46,0,191.425,0.0,False,0.10815,00:52:00,,,NaN,NaN,NaN,NaN,NaN,NaN
"[155.62262444, -29.877401759999994]",6.812,0.171,24,1,80.299,9.441,False,-3.11325,00:54:00,,,NaN,NaN,NaN,NaN,NaN,NaN
