Thunderstorm Case Studies
State/Territory,Hazard,Latitude,Longitude,Location,Date,Time
QLD,"[""Hail""]",-26.95,152.55,Near Kilcoy,08/12/2022,2:00pm EST
NT,"[""Wind""]",-14.24,129.52,Wadeye/Port Keats,06/12/2022,0820UTC
WA,"[""Hail""]",-32.23,115.82,Orelia (SE of Fremantle),08/12/2022,1500Z
ACT,"[""Heavy Rain/Flash Flooding""]",-35.36,149.17,Hindmarsh (Jerrabomberra Creek),07/12/2022,11:10pm NSW Local
WA,"[""Wind""]",-15.78,128.71,Kununurra Airport,06/12/2022,07:02 UTC
WA,"[""Wind""]",-23.36,119.73,Newman,04/12/2022,11:12UTC
QLD,"[""Heavy Rain/Flash Flooding""]",-26.3975,152.88,"Black MT, near Port Douglas",29/11/2022,7pm
QLD,"[""Heavy Rain/Flash Flooding""]",-17.37,145.4,Scrubby Creek (Atherton Tablelands),29/11/2022,4:41pm
NT,"[""Heavy Rain/Flash Flooding""]",-12.06,134.23,Maningrida,29/11/2022,3.15 pm local
NSW,"[""Hail""]",-31.87,152.69,Harrington,28/11/2022,unknown
NT,"[""Heavy Rain/Flash Flooding""]",-14.96,133.24,Roper River Elsey homestead,27/11/2022,19:48-21:46 ACST
QLD,"[""Heavy Rain/Flash Flooding""]",-21.52,147.83,Eaglefield,24/11/2022,11pm
WA,"[""Heavy Rain/Flash Flooding""]",-18.71,126.71,ME NO SAVVY (Kimberley),23/11/2022,23:50 (Wed) to 01:50 (Thurs)
VIC,"[""Hail""]",-37.90,145.04,Melbourne - Ormond ,21/11/2022,14:11 LT
QLD,"[""Hail""]",-26.77,151.97,"South Nanango, Qld",20/11/2022,Sunday afternoon
VIC,"[""Heavy Rain/Flash Flooding""]",-35.7875,142.8875,Marlbed,19/11/2022,17:35 local
VIC,"[""Hail"",""Wind"",""Heavy Rain/Flash Flooding""]",-35.07,142.31,Ouyen,19/11/2022,16:10 (local Vic)
SA,"[""Heavy Rain/Flash Flooding""]",-31.44,130.89,Nullabor,18/11/2022,1530 UTC / 2:00am local
VIC,"[""Heavy Rain/Flash Flooding""]",-38.27,145.01,Mount Martha,14/11/2022,3:00 am - 5:00 am (Victoria local)
TAS,"[""Heavy Rain/Flash Flooding""]",-42.233,147.80,Tooms Lake (East Coast Tasmania),11/11/2022,4.06pm local
NSW,"[""Hail""]",-30.50,153.02,Urunga,27/10/2022,~6:30pm
QLD,"[""Hail""]",-16.82,145.64,"Kuranda, Far North Queensland",27/10/2022,Early afternoon about 1pm AEST?
