Coordinate,Scale_KM,TOT_dense,IC_num,CG_num,IC_amp,CG_amp,LJ,Sigma,Time,radar_ID,radar_Coor,max_SHI,nonneg_90_SHI,time_SHI,coor_SHI,valid_size_SHI,invalid_size_SHI,valid_range_SHI
,0.0,0.0,0,0,0.0,0.0,,,00:00:00,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,0.0,0.0,0,0,0.0,0.0,,,00:02:00,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"[152.49707784615387, -25.331565038461537]",5.067,0.322,23,3,105.681,65.055,,,00:04:00,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"[152.49134923529414, -25.316995352941177]",5.218,0.398,34,0,158.722,0.0,,,00:06:00,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"[152.51519645833332, -25.345909583333334]",7.682,0.129,23,1,108.275,18.049,,,00:08:00,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,0.0,0.0,0,0,0.0,0.0,,,00:10:00,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,0.0,0.0,0,0,0.0,0.0,,,00:12:00,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,0.0,0.0,0,0,0.0,0.0,,,00:14:00,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,0.0,0.0,0,0,0.0,0.0,,,00:16:00,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,0.0,0.0,0,0,0.0,0.0,,,00:18:00,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"[151.5668107923077, -24.80491463846153]",6.959,0.854,117,13,841.163,163.092,,,00:20:00,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"[151.57634128813558, -24.8110405423729]",6.223,0.97,109,9,716.814,112.734,False,-0.20641,00:22:00,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"[151.5842130504203, -24.797246764705875]",7.321,0.707,107,12,684.942,194.112,False,0.01675,00:24:00,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"[151.58907451515142, -24.81730840909092]",6.665,0.946,113,19,734.37,336.688,False,0.21809,00:26:00,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"[151.6120853529411, -24.847152490196084]",5.089,1.254,97,5,671.859,118.103,False,-0.51207,00:28:00,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"[151.62507751282052, -24.8544179423077]",5.094,1.914,142,14,1033.754,288.747,False,0.85293,00:30:00,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"[151.62868687857144, -24.85796283571429]",3.473,3.694,135,5,849.675,35.032,False,-0.50629,00:32:00,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"[151.63924247115384, -24.858764913461545]",4.583,1.576,95,9,677.802,81.909,False,-1.1183,00:34:00,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"[151.65965122522522, -24.843118558558558]",6.81,0.762,92,19,623.314,255.281,False,0.18891,00:36:00,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"[150.98537840000003, -25.110054080000005]",12.499,0.051,24,1,159.301,37.912,False,-2.35621,00:38:00,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"[150.90037468181816, -25.015501772727273]",13.282,0.04,22,0,144.313,0.0,False,-0.05793,00:40:00,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"[150.94134395999998, -25.018218320000003]",13.032,0.047,25,0,195.642,0.0,False,0.08154,00:42:00,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
