,Coordinate,Scale_KM,TOT_dense,IC_num,CG_num,IC_amp,CG_amp,LJ,Sigma,Time,radar_ID,radar_Coor,max_SHI,nonneg_90_SHI,time_SHI,coor_SHI,valid_size_SHI,invalid_size_SHI,valid_range_SHI,datetime
377,"[153.48851783673484, -27.799486517006816]",2.979,5.274,146.0,1.0,331.101,19.618,Jump_3,4.50239,03:14:00,66,"[153.24, -27.7178]","[17.375, 9.0, 5.3125, 'NaN', 'NaN', 'NaN', 3.125, 'NaN', 'NaN', 'NaN']","[12.8563, 8.75, 5.0625, 'NaN', 'NaN', 'NaN', 3.125, 'NaN', 'NaN', 'NaN']","['03:15:00', '03:20:00', '03:25:00', '03:30:00', '03:35:00', '03:40:00', '03:45:00', '03:50:00', '03:55:00', '04:00:00']","[[-27.798584, 153.46368], [-27.789612, 153.45349], [-27.762512, 153.50421], 'NaN', 'NaN', 'NaN', [-27.771545, 153.47375], 'NaN', 'NaN', 'NaN']",10878.0,106.0,0.1201,2021-10-22 03:14:00
442,"[152.85041003870967, -26.308669716129028]",6.562,1.146,152.0,3.0,622.244,75.77,Jump_5,2.12508,05:30:00,8,"[152.5768, -25.9574]","['NaN', 'NaN', 'NaN', 'NaN', 'NaN', 423.5625, 269.5625, 480.125, 427.25, 942.625, 918.5]","['NaN', 'NaN', 'NaN', 'NaN', 'NaN', 175.1875, 104.7625, 167.0125, 172.4938, 373.25, 351.1125]","['05:32:00', '05:37:00', '05:42:00', '05:47:00', '05:52:00', '05:55:00', '06:00:00', '06:05:00', '06:10:00', '06:15:00', '06:20:00']","['NaN', 'NaN', 'NaN', 'NaN', 'NaN', [-26.730835, 152.55664], [-26.182129, 152.7572], [-26.649902, 152.59692], [-26.622864, 152.61707], [-26.559937, 152.617], [-26.523987, 152.63708]]",11063.0,31.0,0.1221,2021-10-22 05:30:00
448,"[152.85849201333335, -26.260205906666677]",5.881,1.38,149.0,1.0,609.063,14.873,Jump_6,2.52485,05:42:00,8,"[152.5768, -25.9574]","['NaN', 'NaN', 'NaN', 423.5625, 269.5625, 480.125, 427.25, 942.625, 918.5, 894.625, 946.5625]","['NaN', 'NaN', 'NaN', 189.6875, 104.7625, 167.0125, 172.4938, 373.25, 351.1125, 277.3875, 368.35]","['05:42:00', '05:47:00', '05:52:00', '05:55:00', '06:00:00', '06:05:00', '06:10:00', '06:15:00', '06:20:00', '06:25:00', '06:30:00']","['NaN', 'NaN', 'NaN', [-26.730835, 152.55664], [-26.182129, 152.7572], [-26.649902, 152.59692], [-26.622864, 152.61707], [-26.559937, 152.617], [-26.523987, 152.63708], [-26.523987, 152.617], [-26.479004, 152.63708]]",11036.0,58.0,0.1218,2021-10-22 05:42:00
476,"[152.7300062415171, -26.24014920758482]",22.803,0.307,439.0,62.0,2102.461,889.381,Jump_8,3.01263,06:38:00,8,"[152.5768, -25.9574]","[813.375, 1113.625, 647.6875, 488.75, 421.625, 425.6875, 366.9375, 259.25, 261.625, 583.6875]","[428.9875, 471.5875, 358.9, 174.4688, 124.375, 160.1063, 128.3375, 110.1875, 135.3188, 204.125]","['06:40:00', '06:45:00', '06:50:00', '06:55:00', '07:00:00', '07:05:00', '07:10:00', '07:15:00', '07:20:00', '07:25:00']","[[-26.380066, 152.63702], [-26.36206, 152.64703], [-25.930176, 152.85681], [-25.91211, 152.87677], [-25.87616, 152.87665], [-25.831116, 152.9065], [-25.786133, 152.92639], [-25.74115, 152.92621], [-26.065247, 152.737], [-26.065186, 152.75702]]",11173.0,-79.0,0.1233,2021-10-22 06:38:00
532,"[152.78360405263157, -25.610398644736843]",7.48,0.432,64.0,12.0,296.268,351.368,Jump_9,3.01493,08:30:00,8,"[152.5768, -25.9574]","[61.375, 51.0, 36.4375, 39.5625, 63.1875, 107.125, 168.3125, 331.875, 314.3125, 179.875, 148.25]","[41.975, 32.375, 26.625, 25.85, 31.6188, 67.1438, 99.8125, 200.4625, 200.4, 127.6687, 101.2875]","['08:30:00', '08:35:00', '08:40:00', '08:45:00', '08:50:00', '08:55:00', '09:00:00', '09:05:00', '09:10:00', '09:15:00', '09:20:00']","[[-25.552551, 152.78613], [-25.507568, 152.78607], [-25.453674, 152.76605], [-25.417664, 152.77594], [-25.372742, 152.74603], [-25.336731, 152.75592], [-25.29181, 152.74591], [-25.255798, 152.7558], [-25.210876, 152.75574], [-25.183838, 152.76562], [-25.138855, 152.7854]]",11231.0,-137.0,0.124,2021-10-22 08:30:00
600,"[153.19290570777966, -27.373105381404198]",4.115,9.905,525.0,2.0,1940.096,19.018,Jump_0,2.52004,00:44:00,43,"[153.13, -27.392]",No_File,No_File,No_File,No_File,No_File,No_File,No_File,2021-10-22 00:44:00
604,"[153.22231123566291, -27.166597375448024]",23.635,0.636,1109.0,7.0,4089.889,68.238,Jump_1,9.32772,00:52:00,43,"[153.13, -27.392]",No_File,No_File,No_File,No_File,No_File,No_File,No_File,2021-10-22 00:52:00
612,"[153.19703363636359, -27.36544927667983]",4.059,9.778,503.0,3.0,1556.555,25.003,Jump_2,2.40225,01:08:00,43,"[153.13, -27.392]",No_File,No_File,No_File,No_File,No_File,No_File,No_File,2021-10-22 01:08:00
618,"[153.27876784352506, -27.072172456834526]",24.367,0.298,552.0,4.0,1446.005,77.711,Jump_3,9.76315,01:20:00,43,"[153.13, -27.392]",No_File,No_File,No_File,No_File,No_File,No_File,No_File,2021-10-22 01:20:00
657,"[153.45105103947375, -27.82123325375939]",4.857,7.179,528.0,4.0,1510.39,57.749,Jump_5,32.22556,02:38:00,66,"[153.24, -27.7178]","[146.625, 126.4375, 85.875, 57.5, 37.9375, 10.25, 21.4375, 17.375, 9.0, 5.3125]","[95.7188, 63.6875, 67.5313, 42.875, 21.375, 9.2562, 15.3188, 12.8563, 8.75, 5.0625]","['02:40:00', '02:45:00', '02:50:00', '02:55:00', '03:00:00', '03:05:00', '03:10:00', '03:15:00', '03:20:00', '03:25:00']","[[-27.825562, 153.43323], [-27.825562, 153.43323], [-27.825562, 153.43323], [-27.798584, 153.46368], [-27.807556, 153.44336], [-27.816528, 153.46368], [-27.807556, 153.46368], [-27.798584, 153.46368], [-27.789612, 153.45349], [-27.762512, 153.50421]]",10996,-12,0.1214,2021-10-22 02:38:00
