,Coordinate,Scale_KM,TOT_dense,IC_num,CG_num,IC_amp,CG_amp,LJ,Sigma,Time,radar_ID,radar_Coor,max_SHI,nonneg_90_SHI,time_SHI,coor_SHI,valid_size_SHI,invalid_size_SHI,valid_range_SHI,datetime
4,"[153.06825311111112, -28.035399020833328]",31.065,0.047,107.0,37.0,808.035,731.939,Jump_10,2.61193,05:04:00,66,"[153.24, -27.7178]","[40.625, 52.1875, 29.9375, 45.875, 67.9375, 89.0, 149.0, 273.0, 211.875, 111.625]","[19.4125, 28.7125, 19.7, 33.0, 47.0, 54.3188, 90.5, 158.975, 120.4375, 72.45]","['05:05:00', '05:10:00', '05:15:00', '05:20:00', '05:25:00', '05:30:00', '05:35:00', '05:40:00', '05:45:00', '05:50:00']","[[-27.960632, 153.30109], [-27.9516, 153.3316], [-27.91565, 153.31122], [-27.933594, 153.32141], [-27.933594, 153.3418], [-27.924622, 153.3316], [-27.915588, 153.3418], [-27.933594, 153.35199], [-27.951538, 153.37238], [-27.915588, 153.37231]]",10940,44,0.1207,2021-10-18 05:04:00
11,"[153.1263532333334, -27.952964800000004]",26.373,0.055,87.0,33.0,641.586,745.061,Jump_11,2.791,05:18:00,66,"[153.24, -27.7178]","[45.875, 67.9375, 89.0, 149.0, 273.0, 211.875, 111.625, 95.5625, 58.125, 80.9375]","[33.0, 47.0, 54.1562, 90.5, 158.975, 120.4375, 72.45, 37.5813, 33.9, 45.125]","['05:20:00', '05:25:00', '05:30:00', '05:35:00', '05:40:00', '05:45:00', '05:50:00', '05:55:00', '06:00:00', '06:05:00']","[[-27.933594, 153.32141], [-27.933594, 153.3418], [-27.924622, 153.3316], [-27.915588, 153.3418], [-27.933594, 153.35199], [-27.951538, 153.37238], [-27.915588, 153.37231], [-27.915588, 153.37231], [-27.906555, 153.39264], [-27.897583, 153.38245]]",10917,67,0.1205,2021-10-18 05:18:00
35,"[153.266004352349, -27.441626922818777]",27.783,0.123,211.0,87.0,1617.658,1897.562,Jump_12,3.3158,06:06:00,43,"[153.13, -27.392]",No_File,No_File,No_File,No_File,No_File,No_File,No_File,2021-10-18 06:06:00
49,"[153.46388998637607, -27.757496874659385]",32.047,0.114,305.0,62.0,2272.113,1199.066,Jump_13,3.80697,06:34:00,66,"[153.24, -27.7178]","[46.0625, 50.5, 47.0, 55.6875, 19.625, 22.0625, 22.375, 18.8125, 23.5, 18.5]","[24.1063, 17.75, 15.775, 17.225, 10.9375, 10.075, 13.3062, 11.4313, 14.4875, 12.875]","['06:35:00', '06:40:00', '06:45:00', '06:50:00', '06:55:00', '07:00:00', '07:05:00', '07:10:00', '07:15:00', '07:20:00']","[[-27.636658, 153.47351], [-27.762573, 153.47375], [-27.753479, 153.53473], [-27.771423, 153.54492], [-27.357178, 153.74628], [-27.384155, 153.73627], [-27.410889, 153.79718], [-27.446838, 153.8075], [-28.157654, 153.71942], [-27.636047, 153.70697]]",11067,-83,0.1222,2021-10-18 06:34:00
367,"[152.73040221621616, -27.886420670270258]",41.424,0.034,160.0,25.0,1132.108,349.709,Jump_3,2.96332,04:22:00,50,"[152.539, -27.608]","['NaN', 24.1875, 22.5, 59.625, 21.625, 12.0625]","['NaN', 9.6125, 15.75, 33.9375, 14.85, 8.9125]","['04:25:00', '04:31:00', '04:41:00', '04:51:00', '05:01:00', '05:11:00']","['NaN', [-28.002808, 153.03809], [-28.011597, 153.09924], [-28.038391, 153.14014], [-28.065247, 153.1607], [-27.696655, 153.13824]]",10925,64,0.1206,2021-10-18 04:22:00
388,"[153.06825311111112, -28.035399020833328]",31.065,0.047,107.0,37.0,808.035,731.939,Jump_5,2.61193,05:04:00,66,"[153.24, -27.7178]","[40.625, 52.1875, 29.9375, 45.875, 67.9375, 89.0, 149.0, 273.0, 211.875, 111.625]","[19.4125, 28.7125, 19.7, 33.0, 47.0, 54.3188, 90.5, 158.975, 120.4375, 72.45]","['05:05:00', '05:10:00', '05:15:00', '05:20:00', '05:25:00', '05:30:00', '05:35:00', '05:40:00', '05:45:00', '05:50:00']","[[-27.960632, 153.30109], [-27.9516, 153.3316], [-27.91565, 153.31122], [-27.933594, 153.32141], [-27.933594, 153.3418], [-27.924622, 153.3316], [-27.915588, 153.3418], [-27.933594, 153.35199], [-27.951538, 153.37238], [-27.915588, 153.37231]]",10940,44,0.1207,2021-10-18 05:04:00
395,"[153.1263532333334, -27.952964800000004]",26.373,0.055,87.0,33.0,641.586,745.061,Jump_6,2.791,05:18:00,66,"[153.24, -27.7178]","[45.875, 67.9375, 89.0, 149.0, 273.0, 211.875, 111.625, 95.5625, 58.125, 80.9375]","[33.0, 47.0, 54.1562, 90.5, 158.975, 120.4375, 72.45, 37.5813, 33.9, 45.125]","['05:20:00', '05:25:00', '05:30:00', '05:35:00', '05:40:00', '05:45:00', '05:50:00', '05:55:00', '06:00:00', '06:05:00']","[[-27.933594, 153.32141], [-27.933594, 153.3418], [-27.924622, 153.3316], [-27.915588, 153.3418], [-27.933594, 153.35199], [-27.951538, 153.37238], [-27.915588, 153.37231], [-27.915588, 153.37231], [-27.906555, 153.39264], [-27.897583, 153.38245]]",10917,67,0.1205,2021-10-18 05:18:00
419,"[153.266004352349, -27.441626922818777]",27.783,0.123,211.0,87.0,1617.658,1897.562,Jump_7,3.3158,06:06:00,43,"[153.13, -27.392]",No_File,No_File,No_File,No_File,No_File,No_File,No_File,2021-10-18 06:06:00
433,"[153.46388998637607, -27.757496874659385]",32.047,0.114,305.0,62.0,2272.113,1199.066,Jump_8,3.80697,06:34:00,66,"[153.24, -27.7178]","[46.0625, 50.5, 47.0, 55.6875, 19.625, 22.0625, 22.375, 18.8125, 23.5, 18.5]","[24.1063, 17.75, 15.775, 17.225, 10.9375, 10.075, 13.3062, 11.4313, 14.4875, 12.875]","['06:35:00', '06:40:00', '06:45:00', '06:50:00', '06:55:00', '07:00:00', '07:05:00', '07:10:00', '07:15:00', '07:20:00']","[[-27.636658, 153.47351], [-27.762573, 153.47375], [-27.753479, 153.53473], [-27.771423, 153.54492], [-27.357178, 153.74628], [-27.384155, 153.73627], [-27.410889, 153.79718], [-27.446838, 153.8075], [-28.157654, 153.71942], [-27.636047, 153.70697]]",11067,-83,0.1222,2021-10-18 06:34:00
726,"[150.98820906042306, -23.602336145015105]",54.36,0.036,234.0,97.0,1750.415,1782.857,Jump_3,35.40214,04:28:00,23,"[151.2626, -23.855]","[47.3125, 37.375, 42.375, 24.25, 9.0625, 3.0625, 'NaN', 6.1875, 9.0625, 11.25]","[29.025, 23.95, 20.1625, 14.5625, 7.7188, 3.0625, 'NaN', 5.7375, 7.4875, 9.125]","['04:30:00', '04:35:00', '04:40:00', '04:45:00', '04:50:00', '04:55:00', '05:00:00', '05:05:00', '05:10:00', '05:15:00']","[[-23.333374, 151.20386], [-23.297424, 151.20386], [-23.360352, 151.33118], [-23.369324, 151.37036], [-23.369324, 151.40955], [-23.378235, 151.45856], 'NaN', [-23.720093, 151.2135], [-23.729065, 151.33136], [-23.729065, 151.36084]]",11296.0,-61.0,0.1247,2021-10-18 04:28:00
