,Coordinate,Scale_KM,TOT_dense,IC_num,CG_num,IC_amp,CG_amp,LJ,Sigma,Time,radar_ID,radar_Coor,max_SHI,nonneg_90_SHI,time_SHI,coor_SHI,valid_size_SHI,invalid_size_SHI,valid_range_SHI,datetime
151,"[150.91576617500004, -34.24061413750001]",5.466,1.705,152.0,8.0,327.534,83.409,Jump_5,6.25425,08:14:00,3,"[150.8751, -34.2624]","[7.9375, 6.0, 8.5625, 12.375, 'NaN', 14.875, 8.375, 8.8125, 'NaN', 5.25]","[7.45, 5.975, 7.5688, 11.925, 'NaN', 14.425, 8.375, 7.8375, 'NaN', 5.1125]","['08:15:00', '08:20:00', '08:25:00', '08:30:00', '08:35:00', '08:40:00', '08:45:00', '08:50:00', '08:55:00', '09:00:00']","[[-34.172424, 150.98383], [-34.15442, 151.0055], [-34.15442, 151.0055], [-33.75763, 151.40515], 'NaN', [-33.79413, 151.26465], [-33.75763, 151.40515], [-33.829773, 151.35144], 'NaN', [-33.81195, 151.30804]]",10242.0,-51.0,0.113,2021-12-25 08:14:00
259,"[150.18110650000003, -30.845874500000004]",2.138,3.762,47.0,7.0,183.994,49.875,Jump_0,2.20947,06:52:00,69,"[150.1917, -31.0236]","[96.0, 46.125, 21.5625, 19.5, 21.0, 67.1875, 27.25, 44.875, 10.3125, 3.4375]","[63.25, 30.2125, 16.8875, 17.3875, 19.1, 37.4062, 14.3625, 33.175, 7.775, 3.4375]","['06:55:00', '07:00:00', '07:05:00', '07:10:00', '07:15:00', '07:20:00', '07:25:00', '07:30:00', '07:35:00', '07:40:00']","[[-30.84375, 150.17078], [-30.834717, 150.16028], [-30.996094, 149.82452], [-30.98706, 149.81403], [-30.780762, 150.09747], [-30.762756, 150.0766], [-30.672852, 150.11853], [-30.717712, 150.03479], [-30.63684, 150.09766], [-30.618835, 150.07672]]",10545.0,0.0,0.1164,2021-12-25 06:52:00
273,"[150.03187764179103, -30.793259552238805]",11.668,0.157,59.0,8.0,220.046,53.876,Jump_1,6.87256,07:22:00,69,"[150.1917, -31.0236]","[27.25, 44.875, 10.3125, 3.4375, 'NaN', 'NaN', 'NaN', 4.25, 'NaN', 'NaN']","[14.3625, 33.175, 7.775, 3.4375, 'NaN', 'NaN', 'NaN', 4.1375, 'NaN', 'NaN']","['07:25:00', '07:30:00', '07:35:00', '07:40:00', '07:45:00', '07:50:00', '07:55:00', '08:00:00', '08:05:00', '08:10:00']","[[-30.672852, 150.11853], [-30.717712, 150.03479], [-30.63684, 150.09766], [-30.618835, 150.07672], 'NaN', 'NaN', 'NaN', [-31.05951, 150.06573], 'NaN', 'NaN']",10663.0,-118.0,0.1177,2021-12-25 07:22:00
359,"[150.91576617500004, -34.24061413750001]",5.466,1.705,152.0,8.0,327.534,83.409,Jump_3,6.25425,08:14:00,3,"[150.8751, -34.2624]","[7.9375, 6.0, 8.5625, 12.375, 'NaN', 14.875, 8.375, 8.8125, 'NaN', 5.25]","[7.45, 5.975, 7.5688, 11.925, 'NaN', 14.425, 8.375, 7.8375, 'NaN', 5.1125]","['08:15:00', '08:20:00', '08:25:00', '08:30:00', '08:35:00', '08:40:00', '08:45:00', '08:50:00', '08:55:00', '09:00:00']","[[-34.172424, 150.98383], [-34.15442, 151.0055], [-34.15442, 151.0055], [-33.75763, 151.40515], 'NaN', [-33.79413, 151.26465], [-33.75763, 151.40515], [-33.829773, 151.35144], 'NaN', [-33.81195, 151.30804]]",10242.0,-51.0,0.113,2021-12-25 08:14:00
475,"[147.80504241025642, -26.054945858974353]",14.371,0.12,71.0,7.0,399.602,73.413,Jump_6,2.62164,06:34:00,67,"[147.3492, -26.44]","[71.375, 23.625, 15.375, 30.25, 19.25, 25.3125, 22.625, 14.25, 10.625, 13.375]","[29.25, 15.175, 13.6375, 15.55, 9.6437, 18.25, 16.3437, 9.95, 8.6875, 9.2875]","['06:35:00', '06:40:00', '06:45:00', '06:50:00', '06:55:00', '07:00:00', '07:05:00', '07:10:00', '07:15:00', '07:20:00']","[[-25.954102, 147.60925], [-25.94513, 147.60925], [-25.94519, 147.58923], [-26.052979, 147.64954], [-26.044006, 147.64948], [-26.034668, 147.7796], [-26.016724, 147.76953], [-25.998718, 147.75946], [-25.980774, 147.7594], [-25.998169, 147.9295]]",11121.0,-132.0,0.1227,2021-12-25 06:34:00
675,"[152.21039350877192, -25.724357754385963]",3.342,1.625,54.0,3.0,164.776,17.024,Jump_0,4.37384,02:14:00,8,"[152.5768, -25.9574]","[5.875, 'NaN', 5.5625, 6.3125, 4.0, 9.1875, 9.5, 29.25, 29.75, 4.25]","[5.6125, 'NaN', 5.3812, 6.3, 3.9125, 7.8875, 9.1125, 26.0875, 21.1125, 3.9375]","['02:15:00', '02:20:00', '02:25:00', '02:30:00', '02:35:00', '02:40:00', '02:45:00', '02:50:00', '02:55:00', '03:00:00']","[[-25.77655, 152.03748], 'NaN', [-25.77649, 152.02753], [-25.94629, 151.79669], [-25.937317, 151.79675], [-25.534424, 152.27777], [-25.929565, 152.07678], [-25.920593, 152.08685], [-25.920654, 152.09686], [-25.884338, 152.00702]]",11124.0,-30.0,0.1228,2021-12-25 02:14:00
694,"[152.0830294942529, -25.939334252873564]",5.606,0.881,84.0,3.0,300.254,18.539,Jump_2,2.12984,02:52:00,8,"[152.5768, -25.9574]","[29.75, 4.25, 3.5, 4.4375, 4.25, 'NaN', 5.625, 'NaN', 3.6875, 10.75]","[21.625, 3.9375, 3.325, 4.3562, 4.2188, 'NaN', 5.3875, 'NaN', 3.6062, 7.3875]","['02:55:00', '03:00:00', '03:05:00', '03:10:00', '03:15:00', '03:20:00', '03:25:00', '03:30:00', '03:35:00', '03:40:00']","[[-25.920654, 152.09686], [-25.884338, 152.00702], [-25.8844, 152.01703], [-25.489624, 152.38751], [-25.489624, 152.38751], 'NaN', [-26.09198, 152.27637], 'NaN', [-26.316162, 152.04504], [-26.091858, 152.22632]]",11093.0,1.0,0.1224,2021-12-25 02:52:00
719,"[152.39683534666665, -26.08757771999999]",15.761,0.096,70.0,5.0,349.937,130.233,Jump_4,2.24664,03:42:00,8,"[152.5768, -25.9574]","[8.125, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 2.9375, 'NaN']","[7.1562, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 2.9375, 'NaN']","['03:45:00', '03:50:00', '03:55:00', '04:00:00', '04:05:00', '04:10:00', '04:15:00', '04:20:00', '04:25:00', '04:30:00']","[[-26.523926, 152.4964], 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', [-26.342834, 151.96466], 'NaN']",11154.0,-60.0,0.1231,2021-12-25 03:42:00
1071,"[150.91576617500004, -34.24061413750001]",5.466,1.705,152.0,8.0,327.534,83.409,Jump_7,6.25425,08:14:00,3,"[150.8751, -34.2624]","[7.9375, 6.0, 8.5625, 12.375, 'NaN', 14.875, 8.375, 8.8125, 'NaN', 5.25]","[7.45, 5.975, 7.5688, 11.925, 'NaN', 14.425, 8.375, 7.8375, 'NaN', 5.1125]","['08:15:00', '08:20:00', '08:25:00', '08:30:00', '08:35:00', '08:40:00', '08:45:00', '08:50:00', '08:55:00', '09:00:00']","[[-34.172424, 150.98383], [-34.15442, 151.0055], [-34.15442, 151.0055], [-33.75763, 151.40515], 'NaN', [-33.79413, 151.26465], [-33.75763, 151.40515], [-33.829773, 151.35144], 'NaN', [-33.81195, 151.30804]]",10242.0,-51.0,0.113,2021-12-25 08:14:00
1112,"[152.39683534666665, -26.08757771999999]",15.761,0.096,70.0,5.0,349.937,130.233,Jump_1,2.24664,03:42:00,8,"[152.5768, -25.9574]","[8.125, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 2.9375, 'NaN']","[7.1562, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 2.9375, 'NaN']","['03:45:00', '03:50:00', '03:55:00', '04:00:00', '04:05:00', '04:10:00', '04:15:00', '04:20:00', '04:25:00', '04:30:00']","[[-26.523926, 152.4964], 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', [-26.342834, 151.96466], 'NaN']",11154.0,-60.0,0.1231,2021-12-25 03:42:00
