,Coordinate,Scale_KM,TOT_dense,IC_num,CG_num,IC_amp,CG_amp,LJ,Sigma,Time,radar_ID,radar_Coor,max_SHI,nonneg_90_SHI,time_SHI,coor_SHI,valid_size_SHI,invalid_size_SHI,valid_range_SHI,datetime
254,"[151.67776336141304, -23.536856451086983]",18.112,0.714,722.0,14.0,3797.012,375.455,Jump_5,2.16693,20:30:00,23,"[151.2626, -23.855]","[354.4375, 423.6875, 522.9375, 347.8125, 274.4375, 193.0, 409.9375, 413.625, 398.125, 219.0625, 83.25]","[91.3125, 150.275, 167.2312, 142.725, 85.9688, 124.9, 113.8938, 175.6125, 180.9, 104.325, 60.5562]","['20:30:00', '20:35:00', '20:40:00', '20:45:00', '20:50:00', '20:55:00', '21:00:00', '21:05:00', '21:10:00', '21:15:00', '21:20:00']","[[-23.549011, 151.5373], [-23.54895, 151.55688], [-23.539917, 151.5863], [-23.539856, 151.60596], [-23.494812, 151.63525], [-23.485779, 151.66461], [-23.476685, 151.6842], [-23.467651, 151.7038], [-23.449585, 151.74292], [-23.717957, 152.07788], [-23.395325, 151.8211]]",11312.0,-77.0,0.1249,2021-10-19 20:30:00
347,"[151.71609445121953, -23.531299731707325]",12.054,0.359,155.0,9.0,1048.103,212.598,Jump_9,9.26682,23:36:00,23,"[151.2626, -23.855]","[27.625, 22.625, 10.125, 14.1875]","[20.1625, 13.725, 7.675, 7.7188]","['23:40:00', '23:45:00', '23:50:00', '23:55:00']","[[-23.548645, 151.69427], [-23.512207, 151.84125], [-23.467224, 151.84106], [-23.207336, 151.49744]]",11298.0,-63.0,0.1247,2021-10-19 23:36:00
630,"[151.67776336141304, -23.536856451086983]",18.112,0.714,722.0,14.0,3797.012,375.455,Jump_6,2.16693,20:30:00,23,"[151.2626, -23.855]","[354.4375, 423.6875, 522.9375, 347.8125, 274.4375, 193.0, 409.9375, 413.625, 398.125, 219.0625, 83.25]","[91.3125, 150.275, 167.2312, 142.725, 85.9688, 124.9, 113.8938, 175.6125, 180.9, 104.325, 60.5562]","['20:30:00', '20:35:00', '20:40:00', '20:45:00', '20:50:00', '20:55:00', '21:00:00', '21:05:00', '21:10:00', '21:15:00', '21:20:00']","[[-23.549011, 151.5373], [-23.54895, 151.55688], [-23.539917, 151.5863], [-23.539856, 151.60596], [-23.494812, 151.63525], [-23.485779, 151.66461], [-23.476685, 151.6842], [-23.467651, 151.7038], [-23.449585, 151.74292], [-23.717957, 152.07788], [-23.395325, 151.8211]]",11312.0,-77.0,0.1249,2021-10-19 20:30:00
723,"[151.71609445121953, -23.531299731707325]",12.054,0.359,155.0,9.0,1048.103,212.598,Jump_10,9.26682,23:36:00,23,"[151.2626, -23.855]","[27.625, 22.625, 10.125, 14.1875]","[20.1625, 13.725, 7.675, 7.7188]","['23:40:00', '23:45:00', '23:50:00', '23:55:00']","[[-23.548645, 151.69427], [-23.512207, 151.84125], [-23.467224, 151.84106], [-23.207336, 151.49744]]",11298.0,-63.0,0.1247,2021-10-19 23:36:00
845,"[151.25366647619052, -24.251278888888894]",6.703,0.446,62.0,1.0,311.804,5.769,Jump_5,2.07057,06:34:00,23,"[151.2626, -23.855]","[35.375, 86.75, 70.9375, 164.5625, 63.625, 39.625, 43.625, 50.5625, 21.0, 27.375]","[29.3562, 53.0125, 42.325, 63.9375, 46.8625, 24.725, 27.4625, 38.1062, 16.7062, 18.9375]","['06:35:00', '06:40:00', '06:45:00', '06:50:00', '06:55:00', '07:00:00', '07:05:00', '07:10:00', '07:15:00', '07:20:00']","[[-24.295654, 151.25275], [-24.295654, 151.32178], [-24.268677, 151.32178], [-24.250671, 151.3612], [-24.232666, 151.4007], [-24.232605, 151.46973], [-24.259521, 151.4895], [-24.250488, 151.51904], [-23.980896, 151.34137], [-23.96289, 151.39056]]",11211.0,24.0,0.1237,2021-10-19 06:34:00
957,"[151.69635909533477, -24.04461735801217]",10.879,2.652,900.0,86.0,4876.662,1983.916,Jump_12,114.98862,13:34:00,23,"[151.2626, -23.855]","[211.9375, 188.8125, 109.125, 73.5625, 76.25, 160.125, 117.875, 131.4375, 96.6875, 84.5625]","[89.75, 91.775, 50.8, 34.25, 30.8125, 36.25, 39.3, 34.6562, 58.25, 59.6875]","['13:35:00', '13:40:00', '13:45:00', '13:50:00', '13:55:00', '14:00:00', '14:05:00', '14:10:00', '14:15:00', '14:20:00']","[[-23.99823, 151.71545], [-23.99823, 151.72528], [-23.980103, 151.75476], [-23.926514, 151.63647], [-23.917542, 151.61676], [-23.908508, 151.64624], [-23.817871, 151.86224], [-23.817749, 151.89172], [-23.826721, 151.90161], [-23.835693, 151.90167]]",11240.0,-5.0,0.1241,2021-10-19 13:34:00
971,"[151.75345972554737, -23.933666220437967]",14.05,1.105,614.0,71.0,3062.102,1752.062,Jump_13,2.51137,14:02:00,23,"[151.2626, -23.855]","[117.875, 131.4375, 96.6875, 84.5625, 66.4375, 78.0625, 236.5, 108.125, 127.625, 100.5]","[39.1875, 34.6562, 58.25, 59.6875, 30.125, 26.625, 40.5188, 52.9688, 57.6875, 63.1375]","['14:05:00', '14:10:00', '14:15:00', '14:20:00', '14:25:00', '14:30:00', '14:35:00', '14:40:00', '14:45:00', '14:50:00']","[[-23.817871, 151.86224], [-23.817749, 151.89172], [-23.826721, 151.90161], [-23.835693, 151.90167], [-23.808594, 151.93103], [-23.692383, 151.74384], [-23.70166, 151.64563], [-23.692566, 151.68488], [-23.665527, 151.69464], [-23.647522, 151.7044]]",11224.0,11.0,0.1239,2021-10-19 14:02:00
1164,"[151.67776336141304, -23.536856451086983]",18.112,0.714,722.0,14.0,3797.012,375.455,Jump_26,2.16693,20:30:00,23,"[151.2626, -23.855]","[354.4375, 423.6875, 522.9375, 347.8125, 274.4375, 193.0, 409.9375, 413.625, 398.125, 219.0625, 83.25]","[91.3125, 150.275, 167.2312, 142.725, 85.9688, 124.9, 113.8938, 175.6125, 180.9, 104.325, 60.5562]","['20:30:00', '20:35:00', '20:40:00', '20:45:00', '20:50:00', '20:55:00', '21:00:00', '21:05:00', '21:10:00', '21:15:00', '21:20:00']","[[-23.549011, 151.5373], [-23.54895, 151.55688], [-23.539917, 151.5863], [-23.539856, 151.60596], [-23.494812, 151.63525], [-23.485779, 151.66461], [-23.476685, 151.6842], [-23.467651, 151.7038], [-23.449585, 151.74292], [-23.717957, 152.07788], [-23.395325, 151.8211]]",11312.0,-77.0,0.1249,2021-10-19 20:30:00
1257,"[151.71609445121953, -23.531299731707325]",12.054,0.359,155.0,9.0,1048.103,212.598,Jump_30,9.26682,23:36:00,23,"[151.2626, -23.855]","[27.625, 22.625, 10.125, 14.1875]","[20.1625, 13.725, 7.675, 7.7188]","['23:40:00', '23:45:00', '23:50:00', '23:55:00']","[[-23.548645, 151.69427], [-23.512207, 151.84125], [-23.467224, 151.84106], [-23.207336, 151.49744]]",11298.0,-63.0,0.1247,2021-10-19 23:36:00
1302,"[150.01792069590655, -23.256591292397637]",14.153,0.543,331.0,11.0,1836.631,193.202,Jump_3,2.52978,07:32:00,47,"[150.467, -23.383]",No_File,No_File,No_File,No_File,No_File,No_File,No_File,2021-10-19 07:32:00
1325,"[150.19135459583333, -22.982577991666666]",9.151,0.912,218.0,22.0,1139.636,378.852,Jump_4,2.56724,08:18:00,47,"[150.467, -23.383]",No_File,No_File,No_File,No_File,No_File,No_File,No_File,2021-10-19 08:18:00
1367,"[151.09587818867928, -23.54840722641509]",25.496,0.026,49.0,4.0,319.818,82.106,Jump_6,4.30829,09:42:00,23,"[151.2626, -23.855]","[15.0, 11.6875, 21.375, 20.25, 16.6875, 'NaN', 6.25, 45.5, 18.0625, 3.5625]","[11.375, 8.5625, 14.55, 15.5625, 15.7812, 'NaN', 5.5938, 33.7438, 15.575, 3.375]","['09:45:00', '09:50:00', '09:55:00', '10:00:00', '10:05:00', '10:10:00', '10:15:00', '10:20:00', '10:25:00', '10:30:00']","[[-23.440796, 150.86072], [-23.404846, 150.88043], [-23.386963, 150.90985], [-23.369019, 150.93933], [-23.351074, 150.96875], 'NaN', [-23.297241, 151.04718], [-23.279358, 151.08636], [-23.279358, 151.11572], [-23.252441, 151.16473]]",11302,-67,0.1247,2021-10-19 09:42:00
