,Coordinate,Scale_KM,TOT_dense,IC_num,CG_num,IC_amp,CG_amp,LJ,Sigma,Time,radar_ID,radar_Coor,max_SHI,nonneg_90_SHI,time_SHI,coor_SHI,valid_size_SHI,invalid_size_SHI,valid_range_SHI,datetime
19,"[153.5821030833333, -31.8950643095238]",9.047,0.327,82.0,2.0,439.873,62.571,Jump_4,2.32159,14:02:00,No_Radar,No_Radar,,,,,,,,2021-10-14 14:02:00
20,"[153.61307188764042, -31.929628292134833]",9.737,0.299,81.0,8.0,478.705,137.965,Jump_4,0.30814,14:04:00,No_Radar,No_Radar,,,,,,,,2021-10-14 14:04:00
21,"[153.58768985393263, -31.910800146067405]",12.824,0.172,82.0,7.0,443.459,313.19,Jump_4,0.0,14:06:00,No_Radar,No_Radar,,,,,,,,2021-10-14 14:06:00
22,"[153.61797773214283, -31.94810348214286]",11.302,0.14,54.0,2.0,395.722,63.038,Jump_4,-2.17927,14:08:00,No_Radar,No_Radar,,,,,,,,2021-10-14 14:08:00
28,"[153.59131307317077, -31.953354528455286]",4.728,1.752,114.0,9.0,768.895,142.112,Jump_5,2.26746,14:20:00,No_Radar,No_Radar,,,,,,,,2021-10-14 14:20:00
29,"[153.61143512087915, -31.990477901098902]",5.323,1.022,88.0,3.0,546.53,78.96,Jump_5,-3.18097,14:22:00,No_Radar,No_Radar,,,,,,,,2021-10-14 14:22:00
30,"[153.6151449072165, -31.975525453608235]",6.348,0.766,85.0,12.0,485.593,332.908,Jump_5,0.27138,14:24:00,No_Radar,No_Radar,,,,,,,,2021-10-14 14:24:00
31,"[153.6346692361111, -31.997289236111108]",5.342,0.803,70.0,2.0,546.59,112.695,Jump_5,-1.15218,14:26:00,No_Radar,No_Radar,,,,,,,,2021-10-14 14:26:00
64,"[154.16318669999998, -32.168680683333335]",30.774,0.02,55.0,5.0,468.832,171.471,Jump_6,2.30071,15:58:00,No_Radar,No_Radar,,,,,,,,2021-10-14 15:58:00
65,"[154.09272373913046, -31.89815317391304]",4.708,0.33,18.0,5.0,138.942,231.555,Jump_6,-4.68017,16:00:00,No_Radar,No_Radar,,,,,,,,2021-10-14 16:00:00
66,"[154.1079333863637, -31.906790750000006]",5.881,0.405,32.0,12.0,231.88,435.67,Jump_6,0.97522,16:02:00,No_Radar,No_Radar,,,,,,,,2021-10-14 16:02:00
67,"[154.1224522962963, -31.926795666666674]",5.772,0.258,25.0,2.0,182.68,212.885,Jump_6,-0.72607,16:04:00,No_Radar,No_Radar,,,,,,,,2021-10-14 16:04:00
83,"[154.2665934222222, -32.12705624444444]",7.051,0.288,40.0,5.0,273.853,70.711,Jump_7,2.16424,16:36:00,No_Radar,No_Radar,,,,,,,,2021-10-14 16:36:00
