,Unnamed: 0,Coordinate,Scale_KM,TOT_dense,IC_num,CG_num,IC_amp,CG_amp,LJ,Sigma,Time,radar_ID,radar_Coor,max_SHI,nonneg_90_SHI,time_SHI,coor_SHI,valid_size_SHI,invalid_size_SHI,valid_range_SHI,datetime
0,5,"[150.39720476595747, -31.343986851063832]",2.759,1.966,37.0,10.0,109.606,119.098,Jump_10,2.02347,10:18:00,69,"[150.1917, -31.0236]","['NaN', 10.125, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN']","['NaN', 10.125, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN']","['10:20:00', '10:25:00', '10:30:00', '10:35:00', '10:40:00', '10:45:00', '10:50:00', '10:55:00', '11:00:00', '11:05:00']","['NaN', [-30.897583, 150.00305], 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN']",10533.0,12.0,0.1163,2021-06-16 10:18:00
1,8,"[152.35876642028984, -26.082458130434777]",8.054,0.339,68.0,1.0,303.685,5.547,Jump_1,3.82808,06:28:00,8,"[152.5768, -25.9574]","[18.9375, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN']","[17.1875, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN']","['06:30:00', '06:35:00', '06:40:00', '06:45:00', '06:50:00', '06:55:00', '07:00:00', '07:05:00', '07:10:00', '07:15:00']","[[-26.02002, 152.25653], 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN']",11102.0,-8.0,0.1225,2021-03-10 06:28:00
2,11,"[147.8110757446808, -26.26181174468086]",28.374,0.019,47.0,0.0,282.037,0.0,Jump_2,2.07225,04:44:00,67,"[147.3492, -26.44]","[13.4375, 'NaN', 'NaN', 'NaN', 'NaN', 11.0625, 'NaN', 'NaN', 'NaN', 'NaN']","[13.4375, 'NaN', 'NaN', 'NaN', 'NaN', 10.9688, 'NaN', 'NaN', 'NaN', 'NaN']","['04:45:00', '04:50:00', '04:55:00', '05:00:00', '05:05:00', '05:10:00', '05:15:00', '05:20:00', '05:25:00', '05:30:00']","[[-26.339355, 148.05164], 'NaN', 'NaN', 'NaN', 'NaN', [-26.258118, 148.11133], 'NaN', 'NaN', 'NaN', 'NaN']",11054.0,-65.0,0.122,2021-03-10 04:44:00
3,12,"[147.06285952000005, -26.877878746666667]",4.152,1.385,58.0,17.0,315.339,303.318,Jump_4,10.90305,05:46:00,67,"[147.3492, -26.44]","['NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 10.625]","['NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 10.625]","['05:50:00', '05:55:00', '06:00:00', '06:05:00', '06:10:00', '06:15:00', '06:20:00', '06:25:00', '06:30:00', '06:35:00']","['NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', [-26.950806, 146.63287]]",11042.0,-53.0,0.1219,2021-03-10 05:46:00
4,13,"[150.03466635403726, -30.87560462111801]",11.551,0.384,146.0,15.0,491.93,223.04,Jump_3,2.64661,07:04:00,69,"[150.1917, -31.0236]","['NaN', 14.6875, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN']","['NaN', 14.6, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN']","['07:05:00', '07:10:00', '07:15:00', '07:20:00', '07:25:00', '07:30:00', '07:35:00', '07:40:00', '07:45:00', '07:50:00']","['NaN', [-30.56488, 150.06635], 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN']",10616.0,-71.0,0.1172,2021-03-10 07:04:00
5,14,"[150.28420579310344, -29.110840120689648]",3.088,1.936,53.0,5.0,124.382,56.108,Jump_5,2.56734,08:50:00,53,"[149.8461, -29.4903]","[18.5, 14.625, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN']","[16.875, 14.475, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN']","['08:50:00', '08:55:00', '09:00:00', '09:05:00', '09:10:00', '09:15:00', '09:20:00', '09:25:00', '09:30:00', '09:35:00', '09:40:00']","[[-29.102905, 150.26813], [-29.102844, 150.2887], 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN']",10808.0,-41.0,0.1193,2021-03-10 08:50:00
6,7,"[152.8293588902438, -28.123658249999995]",5.108,2.0,157.0,7.0,617.674,219.789,Jump_11,12.64433,11:54:00,66,"[153.24, -27.7178]","[23.0, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN']","[22.775, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN']","['11:54:00', '12:00:00', '12:06:00', '12:12:00', '12:18:00', '12:24:00', '12:30:00', '12:36:00', '12:42:00']","[[-28.076843, 152.8017], 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN']",10871.0,113.0,0.12,2021-03-09 11:54:00
7,13,"[152.8293588902438, -28.123658249999995]",5.108,2.0,157.0,7.0,617.674,219.789,Jump_9,12.64433,11:54:00,66,"[153.24, -27.7178]","[23.0, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN']","[22.775, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN']","['11:54:00', '12:00:00', '12:06:00', '12:12:00', '12:18:00', '12:24:00', '12:30:00', '12:36:00', '12:42:00']","[[-28.076843, 152.8017], 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN']",10871.0,113.0,0.12,2021-03-09 11:54:00
8,42,"[152.15795760122694, -26.38516604907977]",8.024,0.806,156.0,7.0,832.297,210.221,Jump_14,2.11899,10:04:00,8,"[152.5768, -25.9574]","[11.8125, 19.8125, 21.0, 23.0, 14.1875, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN']","[11.5125, 17.9875, 19.4125, 20.7875, 13.4688, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN']","['10:05:00', '10:10:00', '10:15:00', '10:20:00', '10:25:00', '10:30:00', '10:35:00', '10:40:00', '10:45:00', '10:50:00']","[[-26.334534, 152.17542], [-26.307617, 152.19556], [-26.325684, 152.21558], [-26.30774, 152.23572], [-26.30774, 152.24573], 'NaN', 'NaN', 'NaN', 'NaN', 'NaN']",11138.0,-44.0,0.1229,2021-01-06 10:04:00
9,43,"[152.21632278616354, -26.32323033333332]",5.39,1.742,141.0,18.0,744.192,413.707,Jump_15,3.38876,10:20:00,8,"[152.5768, -25.9574]","[23.0, 14.1875, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN']","[20.7875, 13.4688, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN']","['10:20:00', '10:25:00', '10:30:00', '10:35:00', '10:40:00', '10:45:00', '10:50:00', '10:55:00', '11:00:00', '11:05:00', '11:10:00']","[[-26.30774, 152.23572], [-26.30774, 152.24573], 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN']",11008.0,86.0,0.1215,2021-01-06 10:20:00
