IC,CG,Total,IC_amp,CG_amp,Total_amp,IC_abs_amp,CG_abs_amp,Total_abs_amp
44.0,8.0,52.0,-15.966,-23.957,-39.923,268.978,135.751,404.729
49.0,7.0,56.0,94.224,-58.739,35.485,273.44,94.721,368.161
57.0,17.0,74.0,33.195,-252.055,-218.86,377.381,340.927,718.308
46.0,9.0,55.0,-87.014,-80.793,-167.807,309.862,116.309,426.171
34.0,12.0,46.0,-57.965,-128.654,-186.619,270.817,203.95,474.767
38.0,14.0,52.0,-12.245,-222.704,-234.949,252.113,298.0,550.113
39.0,5.0,44.0,38.8,13.011,51.811,274.464,102.199,376.663
42.0,4.0,46.0,1.27,15.023,16.293,248.404,58.449,306.853
50.0,7.0,57.0,98.17,-70.577,27.593,336.36,70.577,406.937
44.0,14.0,58.0,-9.811,-196.412,-206.223,310.167,345.318,655.485
53.0,9.0,62.0,-7.23,-231.871,-239.101,390.86,231.871,622.731
27.0,4.0,31.0,-60.303,-35.951,-96.254,189.005,35.951,224.956
34.0,10.0,44.0,85.975,-217.419,-131.444,203.367,217.419,420.786
48.0,22.0,70.0,-1.862,-385.855,-387.717,351.992,603.129,955.121
58.0,14.0,72.0,-106.041,-226.063,-332.104,374.447,333.395,707.842
49.0,5.0,54.0,67.326,-87.906,-20.58,276.454,120.282,396.736
63.0,14.0,77.0,68.592,-182.065,-113.473,368.47,304.307,672.777
74.0,10.0,84.0,150.515,-72.584,77.931,483.885,147.95,631.835
70.0,7.0,77.0,76.456,-118.513,-42.057,410.13,118.513,528.643
77.0,4.0,81.0,87.017,-62.919,24.098,397.781,62.919,460.7
59.0,8.0,67.0,5.791,-83.624,-77.833,312.253,238.248,550.501
47.0,7.0,54.0,81.095,-24.039,57.056,198.077,88.817,286.894
52.0,10.0,62.0,36.29,-161.315,-125.025,257.628,161.315,418.943
82.0,17.0,99.0,-19.608,-187.097,-206.705,444.364,187.097,631.461
38.0,4.0,42.0,-31.61,-67.497,-99.107,249.67,67.497,317.167
42.0,9.0,51.0,62.896,-166.969,-104.073,241.296,166.969,408.265
49.0,5.0,54.0,21.806,1.422,23.228,309.476,110.722,420.198
38.0,4.0,42.0,29.613,-25.17,4.443,229.227,25.17,254.397
44.0,8.0,52.0,84.07,-60.05,24.02,280.57,146.426,426.996
42.0,2.0,44.0,7.449,-66.2,-58.751,247.145,66.2,313.345
43.0,4.0,47.0,129.213,-83.775,45.438,226.625,83.775,310.4
56.0,7.0,63.0,59.827,104.137,163.964,289.011,151.231,440.242
44.0,3.0,47.0,114.428,-124.957,-10.529,250.478,124.957,375.435
37.0,11.0,48.0,16.105,-179.957,-163.852,167.569,212.103,379.672
52.0,8.0,60.0,120.938,-20.449,100.489,302.882,130.623,433.505
35.0,6.0,41.0,-34.459,-130.567,-165.026,208.677,166.513,375.19
37.0,10.0,47.0,-82.194,-66.994,-149.188,316.95,113.984,430.934
8.0,4.0,12.0,11.501,-85.039,-73.538,39.383,85.039,124.422
17.0,9.0,26.0,60.455,20.673,81.128,102.479,202.033,304.512
8.0,8.0,16.0,17.967,-134.192,-116.225,73.857,134.192,208.049
35.0,5.0,40.0,-7.524,-38.473,-45.997,157.576,71.237,228.813
23.0,4.0,27.0,-3.842,-65.228,-69.07,126.256,97.082,223.338
39.0,3.0,42.0,53.613,7.768,61.381,181.971,36.044,218.015
57.0,12.0,69.0,112.83,-195.271,-82.441,303.312,245.985,549.297
28.0,11.0,39.0,12.636,-49.411,-36.775,170.512,178.513,349.025
34.0,5.0,39.0,134.219,-66.05,68.169,192.201,66.05,258.251
29.0,3.0,32.0,45.715,29.631,75.346,160.851,54.277,215.128
36.0,6.0,42.0,2.087,-22.864,-20.777,199.705,66.166,265.871
29.0,8.0,37.0,12.216,-246.961,-234.745,157.786,308.001,465.787
43.0,3.0,46.0,81.97,8.821,90.791,248.244,54.161,302.405
29.0,3.0,32.0,50.795,-44.834,5.961,117.875,44.834,162.709
51.0,5.0,56.0,81.33,-64.662,16.668,257.574,64.662,322.236
45.0,7.0,52.0,67.287,-107.884,-40.597,206.489,107.884,314.373
43.0,0.0,43.0,60.789,0.0,60.789,186.473,0.0,186.473
35.0,7.0,42.0,65.388,-76.627,-11.239,167.378,76.627,244.005
60.0,5.0,65.0,120.359,-8.007,112.352,284.791,60.837,345.628
48.0,3.0,51.0,15.149,-110.786,-95.637,213.523,110.786,324.309
47.0,0.0,47.0,141.902,0.0,141.902,257.774,0.0,257.774
28.0,7.0,35.0,49.559,-67.583,-18.024,145.561,67.583,213.144
46.0,8.0,54.0,126.814,-50.781,76.033,222.556,80.821,303.377
40.0,1.0,41.0,-33.123,42.553,9.43,233.863,42.553,276.416
34.0,5.0,39.0,1.215,-89.786,-88.571,161.535,89.786,251.321
45.0,2.0,47.0,170.219,-14.317,155.902,231.563,14.317,245.88
33.0,6.0,39.0,86.193,13.254,99.447,182.807,106.3,289.107
52.0,8.0,60.0,16.835,-103.727,-86.892,232.265,103.727,335.992
27.0,7.0,34.0,-18.284,-103.16,-121.444,164.862,103.16,268.022
51.0,10.0,61.0,51.286,-58.255,-6.969,296.864,103.441,400.305
34.0,1.0,35.0,64.62,-4.817,59.803,199.12,4.817,203.937
35.0,8.0,43.0,69.878,-104.454,-34.576,247.824,165.82,413.644
52.0,4.0,56.0,76.182,-87.446,-11.264,310.576,87.446,398.022
42.0,8.0,50.0,83.47,-70.412,13.058,253.386,111.968,365.354
30.0,14.0,44.0,-6.642,-159.505,-166.147,122.214,244.731,366.945
48.0,11.0,59.0,49.854,-94.41,-44.556,213.814,127.542,341.356
37.0,11.0,48.0,26.275,-116.92,-90.645,172.231,159.386,331.617
35.0,12.0,47.0,89.819,-178.179,-88.36,190.111,178.179,368.29
32.0,17.0,49.0,33.545,-259.504,-225.959,151.369,307.074,458.443
44.0,15.0,59.0,67.013,-76.395,-9.382,222.885,209.157,432.042
47.0,13.0,60.0,-2.252,-201.358,-203.61,340.26,201.358,541.618
47.0,5.0,52.0,46.195,-23.963,22.232,247.603,155.531,403.134
44.0,13.0,57.0,25.943,-173.967,-148.024,313.467,208.787,522.254
31.0,23.0,54.0,-66.039,-348.06,-414.099,210.403,348.06,558.463
19.0,3.0,22.0,50.581,-133.573,-82.992,133.345,133.573,266.918
43.0,14.0,57.0,76.799,-164.96,-88.161,227.025,205.35,432.375
20.0,9.0,29.0,38.248,-198.916,-160.668,113.064,198.916,311.98
23.0,13.0,36.0,-48.232,-359.072,-407.304,178.59,359.072,537.662
22.0,5.0,27.0,128.518,-90.136,38.382,138.832,90.136,228.968
11.0,4.0,15.0,52.467,-73.235,-20.768,67.705,73.235,140.94
33.0,2.0,35.0,56.101,-26.047,30.054,190.607,26.047,216.654
31.0,9.0,40.0,24.638,-89.767,-65.129,197.108,227.915,425.023
37.0,11.0,48.0,-13.314,-147.795,-161.109,242.448,147.795,390.243
10.0,18.0,28.0,38.022,-252.854,-214.832,62.312,368.542,430.854
20.0,9.0,29.0,-30.935,-177.183,-208.118,122.855,177.183,300.038
20.0,3.0,23.0,21.293,83.967,105.26,106.863,132.069,238.932
13.0,8.0,21.0,-21.109,-103.773,-124.882,95.749,103.773,199.522
25.0,5.0,30.0,-32.238,8.333,-23.905,167.924,57.535,225.459
24.0,17.0,41.0,-43.315,-237.03,-280.345,132.903,237.03,369.933
33.0,6.0,39.0,-13.838,-39.421,-53.259,252.598,78.465,331.063
17.0,15.0,32.0,-14.824,-233.506,-248.33,130.79,233.506,364.296
26.0,5.0,31.0,65.186,-41.677,23.509,143.468,41.677,185.145
17.0,10.0,27.0,1.147,-162.028,-160.881,98.855,162.028,260.883
38.0,6.0,44.0,-18.889,-109.957,-128.846,257.139,109.957,367.096
18.0,11.0,29.0,28.129,-134.299,-106.17,123.453,168.199,291.652
35.0,13.0,48.0,-14.92,-151.074,-165.994,206.808,151.074,357.882
24.0,10.0,34.0,-45.655,-32.334,-77.989,164.553,152.536,317.089
37.0,13.0,50.0,-21.113,-215.96,-237.073,272.765,215.96,488.725
12.0,16.0,28.0,-82.447,-150.902,-233.349,104.959,189.96,294.919
34.0,13.0,47.0,-89.632,-191.99,-281.622,249.33,235.28,484.61
20.0,7.0,27.0,-25.891,-175.185,-201.076,105.963,175.185,281.148
29.0,11.0,40.0,-36.94,-89.453,-126.393,183.83,119.877,303.707
26.0,11.0,37.0,-43.918,-135.965,-179.883,197.586,135.965,333.551
20.0,7.0,27.0,-72.607,-118.478,-191.085,202.927,118.478,321.405
28.0,4.0,32.0,9.693,-52.678,-42.985,131.645,52.678,184.323
30.0,16.0,46.0,-43.054,-105.316,-148.37,197.362,199.36,396.722
32.0,8.0,40.0,-26.7,-52.544,-79.244,198.848,138.436,337.284
27.0,1.0,28.0,7.911,-4.626,3.285,162.265,4.626,166.891
25.0,1.0,26.0,33.127,-7.333,25.794,146.697,7.333,154.03
