IC,CG,Total
44,8,52
49,7,56
57,17,74
46,9,55
34,12,46
38,14,52
39,5,44
42,4,46
50,7,57
44,14,58
53,9,62
27,4,31
34,10,44
48,22,70
58,14,72
49,5,54
63,14,77
74,10,84
70,7,77
77,4,81
59,8,67
47,7,54
52,10,62
82,17,99
38,4,42
42,9,51
49,5,54
38,4,42
44,8,52
42,2,44
43,4,47
56,7,63
44,3,47
37,11,48
52,8,60
35,6,41
37,10,47
8,4,12
17,9,26
8,8,16
35,5,40
23,4,27
39,3,42
57,12,69
28,11,39
34,5,39
29,3,32
36,6,42
29,8,37
43,3,46
29,3,32
51,5,56
45,7,52
43,0,43
35,7,42
60,5,65
48,3,51
47,0,47
28,7,35
46,8,54
40,1,41
34,5,39
45,2,47
33,6,39
52,8,60
27,7,34
51,10,61
34,1,35
35,8,43
52,4,56
42,8,50
30,14,44
48,11,59
37,11,48
35,12,47
32,17,49
44,15,59
47,13,60
47,5,52
44,13,57
31,23,54
19,3,22
43,14,57
20,9,29
23,13,36
22,5,27
11,4,15
33,2,35
31,9,40
37,11,48
10,18,28
20,9,29
20,3,23
13,8,21
25,5,30
24,17,41
33,6,39
17,15,32
26,5,31
17,10,27
38,6,44
18,11,29
35,13,48
24,10,34
37,13,50
12,16,28
34,13,47
20,7,27
29,11,40
26,11,37
20,7,27
28,4,32
30,16,46
32,8,40
27,1,28
25,1,26
21,0,21
32,15,47
19,9,28
31,13,44
29,6,35
14,7,21
24,14,38
29,9,38
15,3,18
39,4,43
27,1,28
40,8,48
14,2,16
37,5,42
28,2,30
33,2,35
22,5,27
28,13,41
29,9,38
42,14,56
32,8,40
13,9,22
30,10,40
33,6,39
19,13,32
23,3,26
37,3,40
25,5,30
55,12,67
60,16,76
45,1,46
41,4,45
53,17,70
57,14,71
59,9,68
65,6,71
73,1,74
55,7,62
61,24,85
67,12,79
80,17,97
59,13,72
40,6,46
57,6,63
43,5,48
31,6,37
21,2,23
47,11,58
41,10,51
34,6,40
49,16,65
44,8,52
47,8,55
57,14,71
63,15,78
48,18,66
83,23,106
56,8,64
71,9,80
70,11,81
48,12,60
81,11,92
50,3,53
81,11,92
52,7,59
58,10,68
37,4,41
45,2,47
59,2,61
42,3,45
49,8,57
51,5,56
57,1,58
51,7,58
45,6,51
51,1,52
67,9,76
83,3,86
55,3,58
41,2,43
60,7,67
47,4,51
62,7,69
42,5,47
61,5,66
56,4,60
55,6,61
33,1,34
23,2,25
16,1,17
22,1,23
44,4,48
37,4,41
26,2,28
30,1,31
23,0,23
20,1,21
39,3,42
41,6,47
45,4,49
49,4,53
70,5,75
85,2,87
82,4,86
89,7,96
113,13,126
107,8,115
137,2,139
148,8,156
137,10,147
176,11,187
142,12,154
183,4,187
174,8,182
180,7,187
182,9,191
167,4,171
212,7,219
209,3,212
210,9,219
225,0,225
263,8,271
210,3,213
224,4,228
275,17,292
238,5,243
258,12,270
242,10,252
216,5,221
270,13,283
245,3,248
201,4,205
186,9,195
218,2,220
224,10,234
217,17,234
222,6,228
248,4,252
253,10,263
264,9,273
251,15,266
268,6,274
282,9,291
281,11,292
325,14,339
293,15,308
265,6,271
271,16,287
270,21,291
217,24,241
226,21,247
243,12,255
217,9,226
254,18,272
258,9,267
252,9,261
231,22,253
232,10,242
225,12,237
235,25,260
239,17,256
221,21,242
202,22,224
222,21,243
193,4,197
222,24,246
210,11,221
221,10,231
257,7,264
232,14,246
277,15,292
264,11,275
244,9,253
204,15,219
217,16,233
201,15,216
223,16,239
271,9,280
254,13,267
232,7,239
226,6,232
272,23,295
226,17,243
237,13,250
244,25,269
239,28,267
200,21,221
244,14,258
259,20,279
216,35,251
242,31,273
256,11,267
274,34,308
252,11,263
263,26,289
233,28,261
213,15,228
232,26,258
204,20,224
235,15,250
214,14,228
242,17,259
216,19,235
246,14,260
249,11,260
249,12,261
297,19,316
307,12,319
273,12,285
266,6,272
318,21,339
291,17,308
283,22,305
248,25,273
307,27,334
258,12,270
268,21,289
213,29,242
211,24,235
248,22,270
248,16,264
264,10,274
257,10,267
257,13,270
235,23,258
226,27,253
255,22,277
225,33,258
257,33,290
259,24,283
233,9,242
247,16,263
229,13,242
280,22,302
237,10,247
240,7,247
208,12,220
227,17,244
223,10,233
196,17,213
207,14,221
160,14,174
207,18,225
213,14,227
230,16,246
210,19,229
165,17,182
221,22,243
198,11,209
196,15,211
212,10,222
205,24,229
204,14,218
183,19,202
175,8,183
232,12,244
206,16,222
209,17,226
237,17,254
280,18,298
271,13,284
309,15,324
323,21,344
347,31,378
335,14,349
353,26,379
329,28,357
353,31,384
373,22,395
337,18,355
353,25,378
348,42,390
401,42,443
413,24,437
426,34,460
353,32,385
353,31,384
368,30,398
248,31,279
242,22,264
228,22,250
262,22,284
238,24,262
217,19,236
212,20,232
220,28,248
195,6,201
226,22,248
230,24,254
241,17,258
191,23,214
194,23,217
218,10,228
175,9,184
155,12,167
187,15,202
161,8,169
182,18,200
166,11,177
138,33,171
162,24,186
135,14,149
149,21,170
135,12,147
130,21,151
140,11,151
115,10,125
137,19,156
148,9,157
147,15,162
138,18,156
152,18,170
166,20,186
182,19,201
197,27,224
173,14,187
187,13,200
178,19,197
250,14,264
212,20,232
224,20,244
211,15,226
183,21,204
186,14,200
189,25,214
120,24,144
121,20,141
127,25,152
109,24,133
142,15,157
168,21,189
139,32,171
120,14,134
98,17,115
67,19,86
43,12,55
64,7,71
68,16,84
44,9,53
53,14,67
57,7,64
44,11,55
50,3,53
52,5,57
57,7,64
53,14,67
56,11,67
70,4,74
49,11,60
43,7,50
56,9,65
46,15,61
56,5,61
56,11,67
48,7,55
47,17,64
59,14,73
43,4,47
44,2,46
34,5,39
28,3,31
48,5,53
30,5,35
26,5,31
24,7,31
34,12,46
28,9,37
42,6,48
45,11,56
42,8,50
42,10,52
32,7,39
24,7,31
62,6,68
39,13,52
53,19,72
47,15,62
70,17,87
42,7,49
53,7,60
46,15,61
64,14,78
59,11,70
69,14,83
72,6,78
72,11,83
86,7,93
131,14,145
108,6,114
118,9,127
126,18,144
106,6,112
117,8,125
119,19,138
124,9,133
126,11,137
173,23,196
138,8,146
196,10,206
187,11,198
191,9,200
189,18,207
159,19,178
155,15,170
139,4,143
155,3,158
163,4,167
163,8,171
148,11,159
164,3,167
127,8,135
107,6,113
115,12,127
136,5,141
124,7,131
123,1,124
122,5,127
133,8,141
134,6,140
119,10,129
152,14,166
152,13,165
140,6,146
178,9,187
189,4,193
183,3,186
169,5,174
176,10,186
168,6,174
178,15,193
199,14,213
222,8,230
167,10,177
160,11,171
105,6,111
129,22,151
113,7,120
112,6,118
125,12,137
117,6,123
122,11,133
111,6,117
135,21,156
102,12,114
132,8,140
118,10,128
95,9,104
95,16,111
90,11,101
82,9,91
66,2,68
105,16,121
72,4,76
82,8,90
63,4,67
71,11,82
69,2,71
86,6,92
73,8,81
97,2,99
77,1,78
98,16,114
77,3,80
58,0,58
65,4,69
68,2,70
57,3,60
58,3,61
43,3,46
44,0,44
54,6,60
43,0,43
44,4,48
32,2,34
45,2,47
33,12,45
25,2,27
44,10,54
42,2,44
28,0,28
45,3,48
22,0,22
42,14,56
30,1,31
28,2,30
26,2,28
49,8,57
30,3,33
18,3,21
29,2,31
23,2,25
10,0,10
24,1,25
31,3,34
13,2,15
23,1,24
8,3,11
26,0,26
18,1,19
21,2,23
19,0,19
43,2,45
18,1,19
38,2,40
43,0,43
23,0,23
40,7,47
20,3,23
30,0,30
23,0,23
22,9,31
19,3,22
41,2,43
26,0,26
24,6,30
26,4,30
13,3,16
20,2,22
22,0,22
24,0,24
13,0,13
16,3,19
18,1,19
18,1,19
13,2,15
22,2,24
19,4,23
18,3,21
15,3,18
32,4,36
19,4,23
11,1,12
21,3,24
22,3,25
23,3,26
16,2,18
19,0,19
44,1,45
29,0,29
18,0,18
26,2,28
32,0,32
34,1,35
37,10,47
42,1,43
36,2,38
34,4,38
27,1,28
35,0,35
31,1,32
29,2,31
15,3,18
32,3,35
24,0,24
36,3,39
28,6,34
33,2,35
27,1,28
33,2,35
24,0,24
26,1,27
23,0,23
6,0,6
30,2,32
13,6,19
21,0,21
20,0,20
27,8,35
12,3,15
15,1,16
20,1,21
12,0,12
13,1,14
16,0,16
22,1,23
23,0,23
19,0,19
34,0,34
18,3,21
24,2,26
12,3,15
9,2,11
19,0,19
15,3,18
18,4,22
16,1,17
10,0,10
14,2,16
12,2,14
10,1,11
9,1,10
11,1,12
2,0,2
9,1,10
6,0,6
9,3,12
6,0,6
1,0,1
4,0,4
3,0,3
6,1,7
1,0,1
4,0,4
6,0,6
3,0,3
3,1,4
10,3,13
0,0,0
6,0,6
8,0,8
1,1,2
8,0,8
10,0,10
6,1,7
10,1,11
9,1,10
10,0,10
12,0,12
4,0,4
14,0,14
15,1,16
4,0,4
3,1,4
3,0,3
11,0,11
8,0,8
4,0,4
20,0,20
10,0,10
6,0,6
5,0,5
3,0,3
9,0,9
2,0,2
5,0,5
4,0,4
1,0,1
3,0,3
1,0,1
7,0,7
8,0,8
1,0,1
2,0,2
6,1,7
9,0,9
2,0,2
1,0,1
4,0,4
2,1,3
0,0,0
0,0,0
0,0,0
0,0,0
2,0,2
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
2,0,2
0,0,0
0,0,0
3,1,4
0,0,0
0,0,0
0,0,0
3,0,3
0,0,0
0,0,0
0,0,0
2,3,5
3,0,3
0,0,0
0,0,0
2,0,2
0,0,0
2,0,2
0,0,0
1,0,1
2,0,2
1,0,1
0,0,0
0,0,0
1,0,1
2,0,2
2,1,3
3,0,3
0,0,0
4,0,4
2,0,2
5,2,7
3,0,3
5,0,5
5,1,6
3,0,3
3,0,3
3,0,3
1,0,1
5,0,5
2,0,2
4,0,4
12,3,15
5,0,5
2,0,2
3,0,3
4,0,4
2,0,2
1,0,1
6,0,6
2,0,2
4,0,4
8,1,9
4,4,8
3,0,3
5,0,5
2,0,2
8,0,8
6,0,6
1,0,1
1,0,1
1,0,1
2,0,2
0,0,0
0,0,0
3,0,3
0,0,0
2,0,2
0,0,0
3,0,3
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
5,2,7
0,0,0
3,0,3
6,2,8
1,1,2
0,0,0
4,1,5
1,0,1
3,0,3
1,0,1
2,0,2
3,0,3
0,0,0
2,0,2
0,0,0
4,2,6
1,0,1
1,0,1
7,3,10
4,0,4
2,0,2
10,0,10
2,0,2
4,0,4
3,2,5
2,0,2
1,1,2
2,3,5
5,3,8
8,0,8
5,1,6
2,0,2
7,2,9
6,0,6
1,0,1
2,0,2
2,3,5
5,0,5
0,0,0
7,0,7
1,1,2
0,0,0
0,0,0
1,0,1
0,0,0
2,0,2
0,0,0
0,0,0
0,0,0
0,0,0
2,0,2
0,0,0
1,0,1
1,0,1
0,0,0
0,0,0
2,0,2
3,1,4
0,0,0
0,0,0
0,0,0
1,1,2
0,0,0
0,0,0
0,0,0
4,1,5
1,0,1
7,0,7
1,0,1
1,0,1
0,0,0
1,0,1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,1
0,0,0
0,0,0
3,0,3
0,0,0
0,0,0
0,0,0
3,0,3
0,0,0
0,0,0
2,0,2
2,0,2
2,0,2
7,2,9
2,0,2
2,0,2
4,0,4
3,0,3
5,0,5
0,0,0
2,0,2
1,0,1
6,1,7
3,2,5
2,0,2
1,0,1
2,3,5
0,0,0
0,0,0
1,0,1
2,0,2
1,0,1
0,0,0
5,0,5
1,0,1
4,0,4
0,0,0
4,0,4
2,0,2
2,0,2
1,0,1
3,0,3
0,0,0
2,0,2
0,0,0
0,0,0
2,0,2
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,1,2
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
2,0,2
2,0,2
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
2,0,2
0,0,0
0,0,0
0,0,0
1,0,1
0,0,0
0,0,0
0,0,0
1,0,1
0,0,0
0,0,0
1,0,1
1,0,1
1,0,1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
3,0,3
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,1,2
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
